Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4.600,2.352,1.174,1.979,2.395,2.773,3.084,3.118,3.434,3.434,0.425
5,2.400,2.357,1.325,1.859,2.534,2.942,3.229,3.237,3.237,3.237,0.424
10,4.200,2.303,1.292,1.857,2.313,2.738,2.844,2.891,3.066,3.066,0.434
15,1.600,2.396,1.549,1.904,2.643,2.816,3.600,3.600,3.600,3.600,0.417
20,3.400,2.271,1.166,1.773,2.281,2.879,2.984,3.143,3.143,3.143,0.440
25,4.000,2.028,1.216,1.530,2.248,2.540,2.838,2.997,2.997,2.997,0.493
30,2.400,2.584,1.410,2.349,2.585,2.980,3.184,4.205,4.205,4.205,0.387
35,3.600,2.434,1.511,2.290,2.469,2.748,2.877,3.057,3.057,3.057,0.411
40,2.600,2.487,1.291,2.376,2.629,2.957,2.982,3.085,3.085,3.085,0.402
45,2.000,2.397,1.653,2.056,2.616,2.652,3.076,3.076,3.076,3.076,0.417
50,2.000,2.357,1.347,1.551,2.615,2.850,3.106,3.106,3.106,3.106,0.424
55,2.400,2.518,1.428,2.523,2.692,2.804,2.956,3.096,3.096,3.096,0.397
