Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.000,26.129,16.384,24.920,25.086,30.666,33.447,33.447,33.447,33.447,0.038
5,2.800,28.051,15.834,16.939,25.308,33.494,41.796,50.035,50.035,50.035,0.036
10,2.600,23.515,15.963,16.873,25.084,25.200,29.586,33.295,33.295,33.295,0.043
15,2.400,31.141,16.758,25.063,33.429,33.844,39.446,50.167,50.167,50.167,0.032
20,2.600,29.270,14.398,24.954,25.119,31.995,33.526,66.847,66.847,66.847,0.034
25,3.000,28.692,16.642,20.958,25.068,33.443,42.021,58.367,58.367,58.367,0.035
30,3.400,28.168,16.215,16.855,25.019,33.475,50.032,50.331,50.331,50.331,0.036
35,1.600,26.959,24.999,25.113,25.632,29.541,33.392,33.392,33.392,33.392,0.037
40,2.400,26.686,16.677,22.514,25.061,33.652,34.001,47.040,47.040,47.040,0.037
45,3.200,28.314,16.677,24.933,25.070,41.574,41.943,42.053,42.053,42.053,0.035
50,2.200,24.333,16.723,16.985,25.081,25.155,33.202,33.343,33.343,33.343,0.041
55,1.800,22.169,16.675,16.825,23.250,25.043,33.346,33.346,33.346,33.346,0.045
