Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,399.000,2.536,0.160,0.408,0.575,1.334,7.639,8.382,29.720,82.510,0.394
5,473.800,2.068,0.155,0.339,0.459,0.706,6.945,8.335,30.928,79.845,0.484
10,463.800,2.149,0.130,0.339,0.463,0.708,6.401,8.271,31.920,114.553,0.465
15,516.600,1.933,0.123,0.254,0.360,0.522,4.723,7.703,21.963,358.215,0.517
20,598.600,1.661,0.134,0.303,0.392,0.550,4.064,7.813,24.257,304.775,0.602
25,680.000,1.469,0.125,0.267,0.387,0.550,3.774,7.656,15.051,234.675,0.681
30,627.200,1.587,0.140,0.273,0.382,0.541,3.791,7.686,23.964,220.872,0.630
35,895.400,1.111,0.122,0.223,0.331,0.451,0.871,6.692,11.840,66.050,0.900
40,851.400,1.168,0.123,0.227,0.348,0.473,1.069,6.850,13.242,72.569,0.856
45,863.800,1.152,0.125,0.237,0.349,0.462,0.847,6.651,12.823,97.899,0.868
50,898.400,1.108,0.124,0.222,0.340,0.450,0.815,6.346,15.980,238.948,0.902
55,823.600,1.209,0.123,0.236,0.367,0.483,0.880,6.651,20.392,83.733,0.827
