Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,187.800,0.450,0.148,0.247,0.432,0.607,0.744,0.823,1.070,1.817,2.222
5,240.600,0.312,0.126,0.179,0.266,0.403,0.535,0.605,0.751,2.318,3.208
10,264.400,0.340,0.120,0.211,0.307,0.411,0.520,0.585,0.706,13.068,2.940
15,255.600,0.323,0.116,0.193,0.309,0.410,0.521,0.590,0.694,2.049,3.092
20,296.400,0.338,0.121,0.255,0.314,0.390,0.504,0.588,0.739,5.350,2.961
25,326.800,0.325,0.118,0.214,0.313,0.389,0.508,0.579,0.707,4.148,3.080
30,274.800,0.340,0.117,0.237,0.318,0.409,0.532,0.591,0.689,3.700,2.939
35,354.600,0.323,0.116,0.202,0.302,0.393,0.489,0.558,0.679,6.070,3.097
40,379.600,0.323,0.120,0.244,0.306,0.366,0.462,0.545,0.679,3.934,3.095
45,364.400,0.334,0.116,0.272,0.316,0.383,0.487,0.569,0.688,4.200,2.997
50,399.400,0.333,0.118,0.226,0.316,0.383,0.472,0.551,0.683,6.523,3.000
55,405.000,0.308,0.115,0.195,0.295,0.364,0.462,0.544,0.687,8.181,3.244
