Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,31.400,7.058,0.176,0.391,4.583,7.701,11.006,27.979,40.759,237.833,0.142
5,38.400,5.019,0.143,0.298,0.520,6.714,8.331,9.807,62.886,208.464,0.199
10,43.400,3.079,0.136,0.295,0.452,4.884,7.977,8.347,38.973,49.112,0.325
15,53.000,3.432,0.134,0.225,0.401,4.801,7.997,8.383,43.088,233.920,0.291
20,61.400,2.509,0.127,0.217,0.358,0.552,7.618,8.340,29.970,80.895,0.399
25,71.800,1.989,0.128,0.220,0.333,0.504,6.849,8.371,31.601,35.204,0.503
30,71.400,1.565,0.128,0.193,0.300,0.431,5.402,7.796,26.998,66.387,0.639
35,72.800,1.486,0.124,0.191,0.296,0.447,4.266,7.080,29.402,56.164,0.673
40,76.400,0.992,0.115,0.184,0.290,0.400,0.594,6.845,11.490,28.404,1.008
45,84.600,1.457,0.125,0.184,0.294,0.471,4.338,7.364,25.443,65.899,0.686
50,77.400,1.297,0.124,0.202,0.320,0.425,0.641,6.202,34.240,54.711,0.771
55,58.400,1.119,0.123,0.275,0.337,0.457,0.582,6.415,11.303,79.591,0.893
