Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.600,2.096,0.898,1.761,2.045,2.455,3.153,3.748,3.748,3.748,0.477
5,1.800,1.310,0.625,1.124,1.276,1.699,1.846,1.846,1.846,1.846,0.763
10,3.000,1.272,0.556,0.837,1.370,1.676,1.764,1.770,1.770,1.770,0.786
15,1.800,1.126,0.765,0.929,0.963,1.228,1.623,1.623,1.623,1.623,0.888
20,2.000,1.184,0.682,0.804,1.332,1.565,1.625,1.625,1.625,1.625,0.845
25,2.600,1.319,0.961,1.292,1.310,1.375,1.489,1.609,1.609,1.609,0.758
30,3.000,1.147,0.640,0.956,1.185,1.333,1.431,1.766,1.766,1.766,0.872
35,3.800,1.056,0.545,0.820,1.010,1.290,1.532,1.668,1.668,1.668,0.947
40,2.800,1.150,0.665,0.860,1.326,1.394,1.457,1.548,1.548,1.548,0.869
45,3.000,1.123,0.757,0.944,1.113,1.255,1.428,1.542,1.542,1.542,0.890
50,2.200,1.080,0.569,0.710,1.121,1.447,1.509,1.561,1.561,1.561,0.926
55,2.000,0.886,0.562,0.577,0.876,1.156,1.366,1.366,1.366,1.366,1.128
