Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,28.000,11.585,5.786,8.248,8.308,8.388,26.829,33.356,57.024,78.172,0.086
5,27.600,11.654,5.164,8.237,8.316,8.391,24.930,33.465,58.383,76.427,0.086
10,27.200,11.959,5.617,8.257,8.318,8.411,24.918,33.407,67.959,75.784,0.084
15,27.800,12.075,5.727,8.261,8.325,8.395,28.432,33.496,67.882,112.314,0.083
20,31.800,12.122,6.298,8.252,8.328,8.403,24.955,33.474,57.601,181.078,0.082
25,26.800,11.236,5.431,8.272,8.322,8.377,11.425,33.619,65.398,82.279,0.089
30,27.000,12.794,5.867,8.239,8.320,8.416,33.103,39.926,66.643,99.516,0.078
35,26.200,10.109,6.089,8.254,8.308,8.384,8.900,24.895,44.487,50.669,0.099
40,24.200,15.938,5.733,8.271,8.332,8.413,33.349,41.348,74.527,316.663,0.063
45,28.400,10.645,5.522,8.254,8.314,8.377,8.909,33.278,49.988,84.056,0.094
50,30.600,11.334,5.233,8.279,8.321,8.408,16.913,33.305,49.960,81.775,0.088
55,28.000,11.692,6.266,8.257,8.315,8.396,25.171,35.789,50.032,82.699,0.086
