Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,65.000,15.358,1.083,8.322,8.536,16.852,33.500,39.431,67.335,141.796,0.065
5,64.800,15.443,0.664,8.309,8.463,16.794,33.256,37.496,91.898,108.243,0.065
10,63.000,15.866,0.682,8.315,8.901,16.800,33.301,34.342,84.384,170.692,0.063
15,65.200,15.368,0.546,8.291,8.432,16.763,33.175,41.654,93.467,110.232,0.065
20,65.600,15.211,0.540,8.302,8.398,16.714,33.168,41.727,70.560,223.429,0.066
25,73.400,13.585,0.497,8.272,8.402,16.670,25.025,41.779,65.809,134.187,0.074
30,65.000,15.376,0.711,8.300,8.464,16.739,30.919,37.943,81.255,152.349,0.065
35,70.200,14.220,0.491,8.274,8.401,16.736,33.266,36.994,66.674,100.136,0.070
40,70.200,14.286,0.602,8.296,8.387,16.712,25.479,39.661,52.317,187.483,0.070
45,72.200,13.898,0.623,8.291,8.367,16.706,29.279,33.830,67.213,99.923,0.072
50,74.600,13.258,0.700,8.260,8.375,16.669,25.311,33.511,67.395,80.935,0.075
55,76.400,13.060,0.622,8.269,8.379,16.653,25.251,33.537,54.209,102.991,0.077
