Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1654497749.988941,20509,0,1
2,Payment,1654497750.009561,8664,0,1
4,Delivery,1654497750.018246,33030,0,1
1,NewOrder,1654497750.051300,16676,0,1
1,NewOrder,1654497750.068003,16806,0,1
2,Payment,1654497750.084828,8188,0,1
1,NewOrder,1654497750.093048,16763,0,1
1,NewOrder,1654497750.109837,16620,0,1
1,NewOrder,1654497750.126477,33441,0,1
2,Payment,1654497750.159951,33557,0,1
2,Payment,1654497750.193539,16337,0,1
1,NewOrder,1654497750.209910,17209,0,1
5,StockLevel,1654497750.227155,4364,0,1
1,NewOrder,1654497750.231552,20103,0,1
2,Payment,1654497750.251690,8292,0,1
5,StockLevel,1654497750.260014,3466,0,1
2,Payment,1654497750.263518,13248,0,1
4,Delivery,1654497750.276800,33247,0,1
2,Payment,1654497750.310072,8349,0,1
2,Payment,1654497750.318450,8284,0,1
1,NewOrder,1654497750.326762,33399,0,1
2,Payment,1654497750.360184,8361,0,1
2,Payment,1654497750.368564,8368,0,1
2,Payment,1654497750.376958,8320,0,1
2,Payment,1654497750.385297,8148,0,1
2,Payment,1654497750.393462,8431,0,1
2,Payment,1654497750.401922,8415,0,1
1,NewOrder,1654497750.410368,16669,0,1
2,Payment,1654497750.427072,8255,0,1
2,Payment,1654497750.435361,8305,0,1
1,NewOrder,1654497750.443697,41755,0,1
1,NewOrder,1654497750.485474,16598,0,1
2,Payment,1654497750.502096,8283,0,1
2,Payment,1654497750.510402,30950,0,1
5,StockLevel,1654497750.541374,1845,0,1
1,NewOrder,1654497750.543245,38484,0,1
4,Delivery,1654497750.581772,37732,0,1
2,Payment,1654497750.619527,7735,0,1
2,Payment,1654497750.627281,8333,0,1
5,StockLevel,1654497750.635635,1736,0,1
1,NewOrder,1654497750.637390,15064,0,1
1,NewOrder,1654497750.652473,16503,0,1
1,NewOrder,1654497750.668997,16859,0,1
2,Payment,1654497750.685918,8133,0,1
2,Payment,1654497750.694085,8297,0,1
3,OrderStatus,1654497750.702409,5039,0,1
1,NewOrder,1654497750.707479,28387,0,1
2,Payment,1654497750.735910,8312,0,1
1,NewOrder,1654497750.744258,16699,0,1
2,Payment,1654497750.760990,8221,0,1
5,StockLevel,1654497750.769251,2840,0,1
1,NewOrder,1654497750.772121,22172,0,1
4,Delivery,1654497750.794326,33485,0,1
2,Payment,1654497750.827843,24916,0,1
1,NewOrder,1654497750.852789,16662,0,1
2,Payment,1654497750.869482,8341,0,1
2,Payment,1654497750.877859,8280,0,1
4,Delivery,1654497750.886177,16746,0,1
