Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,74.200,13.456,1.071,8.291,8.393,16.726,25.063,33.360,51.919,148.284,0.074
5,68.400,14.608,0.769,8.286,8.454,16.717,25.129,33.529,58.424,116.717,0.068
10,77.000,12.974,0.668,8.279,8.367,16.673,24.265,33.369,66.701,110.255,0.077
15,70.000,14.276,0.657,8.298,8.396,16.696,27.287,33.484,52.608,97.352,0.070
20,73.000,13.677,0.556,8.270,8.382,16.714,25.051,33.479,52.488,141.819,0.073
25,68.200,14.645,0.547,8.276,8.458,16.713,25.061,33.330,75.658,207.192,0.068
30,65.600,15.225,0.694,8.263,8.386,16.734,29.239,41.631,67.704,208.527,0.066
35,71.200,14.055,0.830,8.281,8.435,16.712,25.005,33.596,66.701,75.218,0.071
40,68.800,14.516,0.532,8.277,8.409,16.709,25.122,33.518,77.553,108.415,0.069
45,71.200,14.075,0.673,8.278,8.655,16.714,25.072,33.505,58.442,83.321,0.071
50,65.400,15.215,0.730,8.290,8.372,16.734,29.884,50.005,91.866,108.442,0.066
55,78.400,12.728,0.622,8.266,8.384,16.680,16.870,33.286,50.057,114.096,0.079
