Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,75.000,13.400,1.174,8.252,8.378,16.676,25.104,33.477,63.994,92.508,0.075
5,55.000,18.050,1.002,8.371,8.724,17.239,33.576,42.360,186.094,220.828,0.055
10,73.000,13.688,0.702,8.294,8.497,16.864,25.116,33.501,47.295,185.791,0.073
15,70.400,14.213,1.004,8.314,8.561,16.864,25.465,33.621,42.071,50.669,0.070
20,73.400,13.577,0.706,8.291,8.953,16.806,25.110,33.425,42.152,50.188,0.074
25,72.400,13.806,0.706,8.284,8.449,16.757,25.846,33.444,50.303,109.973,0.072
30,64.800,15.421,0.606,8.310,8.962,16.812,29.560,33.569,75.357,123.198,0.065
35,70.200,14.218,0.687,8.284,8.504,16.756,25.403,33.580,50.116,123.266,0.070
40,72.600,13.761,0.660,8.288,8.428,16.767,25.883,33.443,42.097,77.280,0.073
45,65.400,15.340,0.630,8.286,11.100,16.759,30.493,33.586,57.893,157.451,0.065
50,69.600,14.326,0.698,8.298,10.965,16.788,25.285,33.430,42.163,50.449,0.070
55,72.600,13.703,0.763,8.265,8.398,16.735,25.202,33.457,50.064,71.994,0.073
