Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.800,35.944,16.659,16.854,33.350,41.838,58.458,106.184,106.184,106.184,0.028
5,2.000,24.202,16.736,16.831,24.991,25.159,41.670,41.670,41.670,41.670,0.041
10,3.000,31.192,16.736,16.816,25.013,41.124,50.268,75.041,75.041,75.041,0.032
15,2.800,27.689,16.669,16.715,25.021,25.124,33.431,102.919,102.919,102.919,0.036
20,3.200,27.509,16.041,16.810,25.036,33.305,50.084,73.511,73.511,73.511,0.036
25,3.200,25.559,15.301,16.766,25.001,33.369,33.429,52.489,52.489,52.489,0.039
30,2.200,25.108,16.704,16.809,25.131,25.208,33.304,50.053,50.053,50.053,0.040
35,2.400,20.889,16.032,16.770,16.779,25.217,25.229,33.487,33.487,33.487,0.048
40,3.800,25.070,15.615,16.808,25.053,25.585,33.478,50.345,50.345,50.345,0.040
45,2.400,27.142,16.684,25.059,25.101,32.923,41.767,42.011,42.011,42.011,0.037
50,2.600,33.463,16.722,16.880,25.106,25.226,66.646,116.961,116.961,116.961,0.030
55,2.800,33.424,16.654,24.967,25.086,42.039,58.487,75.139,75.139,75.139,0.030
