Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,28.200,12.769,5.637,8.302,8.378,8.489,23.918,33.503,91.922,141.796,0.078
5,27.200,10.974,5.792,8.289,8.354,8.428,20.967,33.184,44.508,50.263,0.091
10,27.400,13.790,6.530,8.270,8.342,8.515,33.399,38.752,84.384,95.543,0.073
15,28.000,10.848,5.745,8.259,8.335,8.423,13.560,33.328,49.969,93.467,0.092
20,27.200,13.988,5.596,8.293,8.348,8.434,25.130,36.410,110.633,223.429,0.071
25,30.200,11.315,6.338,8.275,8.339,8.416,13.155,27.064,56.573,134.187,0.088
30,27.800,11.350,6.575,8.269,8.329,8.422,14.469,33.397,81.255,83.313,0.088
35,31.200,11.732,5.149,8.257,8.330,8.429,25.010,33.389,58.576,66.913,0.085
40,29.600,11.789,5.595,8.272,8.328,8.405,19.254,30.544,51.900,187.483,0.085
45,34.000,12.061,5.404,8.283,8.334,8.391,24.913,33.665,67.213,99.923,0.083
50,34.800,11.970,4.715,8.267,8.334,8.456,25.131,33.432,68.260,69.343,0.084
55,30.600,11.993,6.866,8.263,8.342,8.459,30.344,33.563,50.186,54.209,0.083
