Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.400,2.282,1.519,1.589,1.869,3.204,3.382,4.575,4.575,4.575,0.438
5,2.800,2.250,1.347,1.750,2.505,2.656,2.966,3.169,3.169,3.169,0.445
10,3.400,2.130,1.188,1.477,2.458,2.744,2.913,2.976,2.976,2.976,0.470
15,2.000,2.725,2.037,2.657,2.824,2.922,3.097,3.097,3.097,3.097,0.367
20,2.800,2.401,1.558,1.764,2.511,2.749,3.041,3.144,3.144,3.144,0.416
25,2.600,2.555,1.272,2.417,2.709,2.849,2.937,3.164,3.164,3.164,0.391
30,2.600,2.229,1.399,1.622,2.392,2.743,2.908,2.928,2.928,2.928,0.449
35,3.400,2.170,1.067,1.738,2.276,2.533,2.774,3.173,3.173,3.173,0.461
40,2.800,2.446,1.267,1.901,2.564,2.968,3.071,3.944,3.944,3.944,0.409
45,4.400,2.325,1.115,1.860,2.423,2.650,2.844,2.986,3.775,3.775,0.430
50,3.200,2.075,1.162,1.455,2.108,2.733,2.894,2.949,2.949,2.949,0.482
55,3.400,2.347,1.253,1.740,2.447,2.752,2.945,3.978,3.978,3.978,0.426
