Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.200,3.051,3.051,3.051,3.051,3.051,3.051,3.051,3.051,3.051,0.328
5,0.400,4.387,4.111,4.111,4.662,4.662,4.662,4.662,4.662,4.662,0.228
10,0.400,2.110,1.842,1.842,2.378,2.378,2.378,2.378,2.378,2.378,0.474
15,0.600,3.653,2.953,2.953,3.758,4.248,4.248,4.248,4.248,4.248,0.274
20,0.600,3.808,3.566,3.566,3.677,4.181,4.181,4.181,4.181,4.181,0.263
25,0.200,3.236,3.236,3.236,3.236,3.236,3.236,3.236,3.236,3.236,0.309
30,0.200,3.443,3.443,3.443,3.443,3.443,3.443,3.443,3.443,3.443,0.290
35,0.600,3.002,2.592,2.592,3.156,3.259,3.259,3.259,3.259,3.259,0.333
40,0.400,3.267,3.009,3.009,3.524,3.524,3.524,3.524,3.524,3.524,0.306
45,1.000,3.133,2.624,3.163,3.172,3.284,3.421,3.421,3.421,3.421,0.319
50,0.200,2.544,2.544,2.544,2.544,2.544,2.544,2.544,2.544,2.544,0.393
55,0.800,3.609,3.073,3.191,3.527,4.646,4.646,4.646,4.646,4.646,0.277
