Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,71,71.000,1783,8314,8884,14183,16763,30549,33493,42258,42258
1,75,75.000,1760,8268,8351,13332,16732,24401,33459,68499,68499
2,72,72.000,1350,8253,8369,13768,16741,25084,37076,58580,58580
3,72,72.000,1168,8250,13976,13890,16704,30666,33515,41827,41827
4,68,68.000,2672,8300,14412,14843,16819,33222,33502,43487,43487
5,77,77.000,863,8275,8403,12776,16669,25136,33494,41796,41796
6,68,68.000,1345,8254,16467,14707,16781,29279,33573,48774,48774
7,67,67.000,636,8308,14991,15061,16725,31620,33486,50577,50577
8,70,70.000,925,8288,8470,17701,16773,33073,33356,280331,280331
9,47,47.000,1603,8105,16616,15855,16808,33530,45865,58493,58493
10,76,76.000,795,8277,8391,13173,16679,25159,33884,50326,50326
11,74,74.000,810,8289,14154,13635,16718,17077,33388,55191,55191
12,82,82.000,802,8260,8369,12199,16625,16768,33289,50314,50314
13,68,68.000,688,8219,8363,14842,16685,25200,33524,215828,215828
14,73,73.000,818,8220,8437,13361,16682,25196,33489,50280,50280
15,75,75.000,1508,8285,8400,13456,16713,25279,33452,50209,50209
16,66,66.000,641,8302,16161,15040,16733,28198,41730,65321,65321
17,67,67.000,1439,8313,8674,14933,16755,33268,33472,50167,50167
18,65,65.000,1549,8277,8814,15526,16788,33562,41672,60950,60950
19,62,62.000,768,8264,8567,15870,16767,40643,42008,58314,58314
20,73,73.000,1161,8245,8428,13817,16788,25129,33365,50496,50496
21,78,78.000,675,8284,8458,12829,16687,24954,33526,58296,58296
22,74,74.000,934,8228,8397,13640,16758,25211,33392,50298,50298
23,69,69.000,1196,8301,12973,14377,16790,25026,33357,49992,49992
24,60,60.000,1694,8269,16511,16540,16758,33468,48235,83786,83786
25,68,68.000,1053,8271,14496,14592,16723,33383,33609,42021,42021
26,73,73.000,783,8203,14096,13706,16746,26759,33443,50220,50220
27,83,83.000,601,8206,8397,12052,16661,16980,33086,49982,49982
28,67,67.000,1033,8300,8796,14930,16721,33397,33586,60269,60269
29,74,74.000,658,8282,8524,13528,16664,25088,33537,50032,50032
30,72,72.000,1271,8286,8532,14127,16672,25078,41853,45410,45410
31,65,65.000,1076,8246,16624,15001,16823,30659,33391,40365,40365
32,78,78.000,1187,8284,8372,12822,16680,25257,33404,39710,39710
33,57,57.000,692,8285,8469,17563,16747,33634,50032,132206,132206
34,70,70.000,502,8307,8483,14298,16731,25090,33475,50331,50331
35,78,78.000,1050,8239,8326,12716,16695,25113,33432,41812,41812
36,74,74.000,981,8277,8486,13529,16686,33318,33553,39537,39537
37,61,61.000,637,8235,15077,16399,16767,31603,33442,150550,150550
38,61,61.000,1167,8246,8444,16400,16800,33392,41559,120547,120547
39,50,50.000,2735,8308,16577,20004,22042,42625,62691,80849,80849
40,57,57.000,1355,8326,16605,17406,16730,33167,47040,102261,102261
41,63,63.000,820,8276,14498,16276,16841,33524,40549,77115,77115
42,68,68.000,511,8245,8672,14342,16734,33355,34618,41901,41901
43,81,81.000,611,8184,8352,12764,16704,24951,33341,50077,50077
44,59,59.000,1111,8197,8516,16399,16795,33416,56957,104189,104189
45,60,60.000,1130,8280,8434,16668,16709,33493,46890,177989,177989
46,45,45.000,845,8283,8400,22123,16829,33450,40567,328544,328544
47,62,62.000,1302,8318,16495,16144,16751,25025,41839,82570,82570
48,66,66.000,660,8268,16485,15288,16796,31101,33936,55572,55572
49,53,53.000,1031,8317,9196,18879,16897,41643,58901,148672,148672
50,68,68.000,808,8299,8388,14503,16723,25233,33613,68578,68578
51,50,50.000,1151,8299,16674,20182,16919,37563,41752,137523,137523
52,50,50.000,1108,8233,16637,19838,16907,33535,43384,118169,118169
53,53,53.000,1302,8268,16437,18877,16754,33343,58328,169468,169468
54,60,60.000,1189,8264,8391,16672,16745,33297,55486,91749,91749
55,61,61.000,1594,8303,16581,16398,16755,33304,33990,85114,85114
56,56,56.000,988,8300,8378,18528,16741,33704,64489,166753,166753
57,53,53.000,721,8254,8515,18014,16758,36765,58492,125259,125259
58,67,67.000,1154,8279,8830,15200,16761,27945,33377,71378,71378
59,68,68.000,804,8277,8442,14220,16875,33355,33429,45285,45285
