Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1654438452.920006,23918,0,1
2,Payment,1654438452.944006,8732,0,1
1,NewOrder,1654438452.952754,16419,0,1
2,Payment,1654438452.969193,8513,0,1
4,Delivery,1654438452.977725,27114,0,1
1,NewOrder,1654438453.004859,17071,0,1
1,NewOrder,1654438453.021951,8565,0,1
1,NewOrder,1654438453.030538,8658,0,1
5,StockLevel,1654438453.039219,3188,0,1
1,NewOrder,1654438453.042430,13871,0,1
1,NewOrder,1654438453.056323,33886,0,1
1,NewOrder,1654438453.090231,16901,0,1
5,StockLevel,1654438453.107154,2614,0,1
2,Payment,1654438453.109788,5637,0,1
4,Delivery,1654438453.115445,34995,0,1
2,Payment,1654438453.150462,8302,0,1
1,NewOrder,1654438453.158795,8958,0,1
1,NewOrder,1654438453.167772,8079,0,1
1,NewOrder,1654438453.175875,17102,0,1
2,Payment,1654438453.193003,8356,0,1
2,Payment,1654438453.201379,8426,0,1
2,Payment,1654438453.209824,8395,0,1
1,NewOrder,1654438453.218239,8458,0,1
2,Payment,1654438453.226722,8413,0,1
1,NewOrder,1654438453.235154,17284,0,1
1,NewOrder,1654438453.252458,8461,0,1
2,Payment,1654438453.260938,8400,0,1
4,Delivery,1654438453.269357,43249,0,1
5,StockLevel,1654438453.312632,2170,0,1
1,NewOrder,1654438453.314821,31506,0,1
2,Payment,1654438453.346365,8226,0,1
1,NewOrder,1654438453.354623,16781,0,1
1,NewOrder,1654438453.371455,16889,0,1
1,NewOrder,1654438453.388368,8411,0,1
2,Payment,1654438453.396800,33555,0,1
1,NewOrder,1654438453.430377,17087,0,1
1,NewOrder,1654438453.447484,16851,0,1
2,Payment,1654438453.464354,8371,0,1
2,Payment,1654438453.472743,8489,0,1
1,NewOrder,1654438453.481262,16768,0,1
1,NewOrder,1654438453.498062,25195,0,1
1,NewOrder,1654438453.523298,33536,0,1
1,NewOrder,1654438453.556858,16851,0,1
1,NewOrder,1654438453.573738,16900,0,1
1,NewOrder,1654438453.590660,16840,0,1
2,Payment,1654438453.607530,8346,0,1
2,Payment,1654438453.615895,8463,0,1
2,Payment,1654438453.624378,8343,0,1
5,StockLevel,1654438453.632740,1786,0,1
1,NewOrder,1654438453.634543,15156,0,1
1,NewOrder,1654438453.649719,16853,0,1
2,Payment,1654438453.666607,8270,0,1
1,NewOrder,1654438453.674897,8542,0,1
2,Payment,1654438453.683460,8470,0,1
1,NewOrder,1654438453.691949,16827,0,1
1,NewOrder,1654438453.708807,9240,0,1
1,NewOrder,1654438453.718069,25105,0,1
2,Payment,1654438453.743196,8284,0,1
4,Delivery,1654438453.751503,17522,0,1
1,NewOrder,1654438453.769047,8493,0,1
1,NewOrder,1654438453.777561,8449,0,1
2,Payment,1654438453.786041,8431,0,1
1,NewOrder,1654438453.794494,17010,0,1
3,OrderStatus,1654438453.811524,1970,0,1
2,Payment,1654438453.813516,53479,0,1
1,NewOrder,1654438453.867022,46950,0,1
2,Payment,1654438453.913994,22862,0,1
2,Payment,1654438453.936877,8119,0,1
2,Payment,1654438453.945021,8516,0,1
2,Payment,1654438453.953568,8400,0,1
1,NewOrder,1654438453.961994,41882,0,1
1,NewOrder,1654438454.003918,16948,0,1
4,Delivery,1654438454.020893,25688,0,1
2,Payment,1654438454.046614,8348,0,1
2,Payment,1654438454.054984,16582,0,1
1,NewOrder,1654438454.071590,17005,0,1
1,NewOrder,1654438454.088617,16927,0,1
2,Payment,1654438454.105565,8293,0,1
2,Payment,1654438454.113877,8418,0,1
3,OrderStatus,1654438454.122323,1731,0,1
2,Payment,1654438454.124082,6632,0,1
2,Payment,1654438454.130741,8366,0,1
1,NewOrder,1654438454.139128,16953,0,1
2,Payment,1654438454.156102,8350,0,1
2,Payment,1654438454.164483,8429,0,1
1,NewOrder,1654438454.172933,8306,0,1
1,NewOrder,1654438454.181259,8539,0,1
2,Payment,1654438454.189819,8275,0,1
2,Payment,1654438454.198113,8463,0,1
2,Payment,1654438454.206597,141796,0,1
2,Payment,1654438454.348419,91922,0,1
2,Payment,1654438454.440382,37077,0,1
2,Payment,1654438454.477513,21205,0,1
1,NewOrder,1654438454.498756,16713,0,1
1,NewOrder,1654438454.515503,17217,0,1
1,NewOrder,1654438454.532749,16273,0,1
1,NewOrder,1654438454.549058,16773,0,1
3,OrderStatus,1654438454.565858,2513,0,1
2,Payment,1654438454.568409,14123,0,1
2,Payment,1654438454.582562,8377,0,1
2,Payment,1654438454.590972,8392,0,1
2,Payment,1654438454.599396,8434,0,1
2,Payment,1654438454.607860,33503,0,1
1,NewOrder,1654438454.641397,33456,0,1
3,OrderStatus,1654438454.674888,3734,0,1
1,NewOrder,1654438454.678654,12845,0,1
1,NewOrder,1654438454.691532,16855,0,1
4,Delivery,1654438454.708418,34223,0,1
2,Payment,1654438454.742678,8230,0,1
1,NewOrder,1654438454.750937,16852,0,1
1,NewOrder,1654438454.767818,49258,0,1
