Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1654348207.357588,16860,0,1
2,Payment,1654348207.374479,8201,0,1
2,Payment,1654348207.382706,8314,0,1
2,Payment,1654348207.391047,8291,0,1
1,NewOrder,1654348207.399416,16643,0,1
1,NewOrder,1654348207.416081,33524,0,1
3,OrderStatus,1654348207.449627,2345,0,1
1,NewOrder,1654348207.451997,14251,0,1
2,Payment,1654348207.466268,8370,0,1
2,Payment,1654348207.474664,8344,0,1
1,NewOrder,1654348207.483032,16608,0,1
1,NewOrder,1654348207.499699,16631,0,1
1,NewOrder,1654348207.516371,8211,0,1
2,Payment,1654348207.524609,8357,0,1
1,NewOrder,1654348207.533001,8301,0,1
2,Payment,1654348207.541334,33356,0,1
2,Payment,1654348207.574719,8281,0,1
2,Payment,1654348207.583018,8387,0,1
2,Payment,1654348207.591432,8271,0,1
2,Payment,1654348207.599722,8291,0,1
2,Payment,1654348207.608032,8367,0,1
1,NewOrder,1654348207.616419,16749,0,1
2,Payment,1654348207.633187,8286,0,1
1,NewOrder,1654348207.641493,16732,0,1
2,Payment,1654348207.658247,8292,0,1
3,OrderStatus,1654348207.666560,989,0,1
3,OrderStatus,1654348207.667572,1300,0,1
1,NewOrder,1654348207.668887,22626,0,1
2,Payment,1654348207.691532,8328,0,1
2,Payment,1654348207.699877,8297,0,1
1,NewOrder,1654348207.708201,16788,0,1
2,Payment,1654348207.725007,8282,0,1
1,NewOrder,1654348207.733305,16841,0,1
1,NewOrder,1654348207.750161,8249,0,1
1,NewOrder,1654348207.758424,8370,0,1
1,NewOrder,1654348207.766810,8310,0,1
2,Payment,1654348207.775133,8366,0,1
5,StockLevel,1654348207.783510,2019,0,1
2,Payment,1654348207.785546,31418,0,1
2,Payment,1654348207.816995,53843,0,1
1,NewOrder,1654348207.870856,21141,0,1
3,OrderStatus,1654348207.892018,1089,0,1
2,Payment,1654348207.893119,7222,0,1
2,Payment,1654348207.900352,8305,0,1
2,Payment,1654348207.908680,8257,0,1
1,NewOrder,1654348207.916958,33615,0,1
2,Payment,1654348207.950604,8161,0,1
1,NewOrder,1654348207.958793,16777,0,1
2,Payment,1654348207.975597,8266,0,1
2,Payment,1654348207.983887,8247,0,1
2,Payment,1654348207.992156,8308,0,1
1,NewOrder,1654348208.000485,25019,0,1
1,NewOrder,1654348208.025532,16705,0,1
1,NewOrder,1654348208.042254,33489,0,1
1,NewOrder,1654348208.075764,16607,0,1
2,Payment,1654348208.092391,8385,0,1
2,Payment,1654348208.100807,8269,0,1
5,StockLevel,1654348208.109104,3170,0,1
1,NewOrder,1654348208.112298,21851,0,1
1,NewOrder,1654348208.134175,6086,0,1
1,NewOrder,1654348208.140277,10450,0,1
2,Payment,1654348208.150743,8347,0,1
4,Delivery,1654348208.159103,42085,0,1
1,NewOrder,1654348208.201211,16548,0,1
2,Payment,1654348208.217787,8115,0,1
2,Payment,1654348208.225935,8402,0,1
1,NewOrder,1654348208.234360,16726,0,1
3,OrderStatus,1654348208.251113,1516,0,1
