Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,76,76.000,1729,8292,8390,13198,16887,25518,33233,58484,58484
1,77,77.000,1555,8301,8384,12908,16658,25062,33360,50230,50230
2,67,67.000,1519,8282,8371,14952,16710,25039,41818,148284,148284
3,80,80.000,1527,8290,8416,12509,16672,22652,33386,38285,38285
4,71,71.000,1071,8310,8838,13979,16784,25014,37542,41799,41799
5,70,70.000,1456,8294,15423,14299,16799,25054,33339,58286,58286
6,78,78.000,924,8283,8354,12835,16640,25129,33513,41853,41853
7,66,66.000,769,8285,8450,15170,16814,36250,41627,58424,58424
8,73,73.000,824,8270,8422,13706,16710,25011,33399,55872,55872
9,55,55.000,1018,8321,8721,18034,16687,33494,83645,116717,116717
10,67,67.000,936,8275,8358,16057,16715,33505,41834,110255,110255
11,73,73.000,1237,8281,8396,12790,16706,25093,33232,41719,41719
12,84,84.000,1120,8284,8367,11812,16631,16807,25407,49612,49612
13,91,91.000,668,8275,8351,11001,14216,16749,33304,42217,42217
14,70,70.000,890,8279,8418,14172,16733,25191,33485,66937,66937
15,73,73.000,784,8317,8394,13703,16653,17148,33484,50240,50240
16,69,69.000,1317,8301,8427,14500,16686,31790,41957,50087,50087
17,63,63.000,1220,8282,8368,15880,16705,33346,41827,97352,97352
18,71,71.000,657,8285,8559,14325,16728,25008,33265,83519,83519
19,74,74.000,1288,8286,8380,13218,16696,25167,33380,50149,50149
20,88,88.000,705,8266,8338,11843,16654,17134,25101,50176,50176
21,70,70.000,1009,8293,8447,13778,16694,25096,33454,58431,58431
22,77,77.000,556,8259,8422,13000,16691,17178,41582,50195,50195
23,58,58.000,1270,8293,8835,16964,16767,33411,50086,141819,141819
24,72,72.000,765,8233,8382,13894,16786,25583,33705,52488,52488
25,64,64.000,2319,8290,8406,15630,16714,24843,50117,100041,100041
26,77,77.000,547,8252,8462,12996,16691,25037,32115,58457,58457
27,80,80.000,785,8263,8362,12505,16701,19491,33523,50098,50098
28,55,55.000,1226,8266,15164,18187,16742,30734,41810,207192,207192
29,65,65.000,1072,8317,16045,15262,16773,27005,31401,83607,83607
30,69,69.000,694,8268,8357,14509,16706,33405,42647,63270,63270
31,71,71.000,1673,8290,8498,14090,16698,25047,33342,67704,67704
32,71,71.000,1324,8221,8363,14208,16708,28741,41667,74308,74308
33,49,49.000,1304,8294,16662,20415,17179,37557,41984,208527,208527
34,68,68.000,1194,8243,8343,14459,16734,25108,38323,108407,108407
35,70,70.000,1479,8305,9073,14414,16763,25083,41027,66686,66686
36,71,71.000,830,8258,15505,14092,16743,17818,25342,75218,75218
37,68,68.000,1738,8302,8435,14601,16751,25599,33596,66701,66701
38,71,71.000,1308,8272,8428,14094,16672,24999,34962,73660,73660
39,76,76.000,1031,8273,8379,13163,16673,21066,33301,66673,66673
40,72,72.000,1177,8300,8394,13776,16704,25122,33480,46780,46780
41,64,64.000,1308,8323,16638,15758,16767,25104,33249,74970,74970
42,62,62.000,747,8294,8437,15997,16696,33242,38573,108415,108415
43,67,67.000,921,8273,8426,14944,16713,25077,33281,89330,89330
44,79,79.000,532,7639,8365,12656,16676,26699,41811,66618,66618
45,69,69.000,711,8322,16137,15114,16775,25118,33231,66893,66893
46,79,79.000,673,8235,8354,12239,16669,24952,33390,50258,50258
47,70,70.000,1071,8147,15310,14055,16744,32324,39978,50223,50223
48,70,70.000,1176,8271,8384,14283,16673,17245,55572,83321,83321
49,68,68.000,1135,8306,16590,14956,16745,26163,33850,54802,54802
50,78,78.000,1036,8258,8369,12609,16725,25009,33309,50095,50095
51,56,56.000,1220,8313,16639,17715,16773,33363,50160,108414,108414
52,65,65.000,730,8299,8354,15520,16622,33850,53838,108442,108442
53,65,65.000,1017,8290,8361,15279,16197,32447,56671,97601,97601
54,63,63.000,1856,8307,16570,15834,16828,25125,33372,91866,91866
55,88,88.000,622,8262,8352,11377,16602,16808,25169,58704,58704
56,72,72.000,1058,8287,8408,13898,16709,16778,33477,114096,114096
57,85,85.000,930,8248,8375,11676,16666,16785,23323,50057,50057
58,69,69.000,1284,8259,8469,14747,16703,24952,33588,108364,108364
59,78,78.000,696,8273,8388,12533,16678,24754,33518,49899,49899
