Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,34.800,7.074,0.202,0.496,6.273,8.277,15.354,31.216,38.861,71.192,0.141
5,51.200,3.154,0.161,0.255,0.469,5.924,7.950,10.368,31.365,36.045,0.317
10,52.600,4.208,0.151,0.298,0.448,4.339,8.328,20.333,58.840,96.791,0.238
15,61.000,3.712,0.150,0.297,0.460,3.248,8.296,10.985,48.802,176.000,0.269
20,54.600,3.192,0.161,0.360,0.440,0.683,7.330,10.309,82.819,106.848,0.313
25,58.600,2.890,0.160,0.307,0.436,0.635,8.011,11.020,50.225,65.460,0.346
30,61.200,1.887,0.153,0.335,0.423,0.559,6.173,8.468,18.511,70.761,0.530
35,69.200,1.724,0.151,0.300,0.421,0.561,5.333,7.903,29.191,31.973,0.580
40,74.000,1.796,0.156,0.344,0.420,0.519,5.292,7.697,31.101,84.186,0.557
45,68.800,1.859,0.156,0.351,0.422,0.518,4.314,7.863,33.087,87.229,0.538
50,80.000,1.600,0.153,0.289,0.416,0.519,3.897,7.750,23.985,82.592,0.625
55,78.600,1.291,0.150,0.283,0.406,0.521,2.032,7.100,9.788,105.418,0.774
