Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.800,72.589,3.051,58.313,66.264,91.583,108.612,121.836,183.873,183.873,0.014
5,13.600,73.585,2.681,58.233,66.779,89.176,104.269,106.150,441.232,441.232,0.014
10,15.200,68.016,1.064,51.731,66.797,90.845,100.211,117.408,212.800,212.800,0.015
15,14.400,66.799,1.789,52.656,58.601,83.488,100.050,122.480,133.652,133.652,0.015
20,13.800,73.054,1.897,58.325,67.397,91.657,108.760,124.912,140.856,140.856,0.014
25,13.400,74.171,1.768,52.141,66.630,88.170,124.116,141.493,200.934,200.934,0.013
30,13.800,72.309,1.447,57.826,58.943,90.830,107.623,124.895,206.999,206.999,0.014
35,13.200,75.804,1.646,50.135,74.962,92.197,108.441,125.132,242.547,242.547,0.013
40,13.200,75.954,1.459,56.725,66.835,92.781,108.292,125.135,282.420,282.420,0.013
45,14.400,69.855,1.590,50.024,67.026,92.163,110.653,125.007,203.835,203.835,0.014
50,8.800,112.948,1.566,57.734,82.087,122.469,249.992,325.136,575.823,575.823,0.009
55,12.800,76.884,2.297,50.390,66.834,99.739,124.533,158.625,225.657,225.657,0.013
