Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,67,67.000,1736,8283,8431,14983,17209,33399,33557,41755,41755
1,66,66.000,1488,8299,15368,15408,16758,30018,33347,66743,66743
2,69,69.000,1527,8290,8348,14131,16750,33365,33415,37934,37934
3,73,73.000,1271,8285,8354,14047,16716,33385,33533,66581,66581
4,50,50.000,1225,8264,14565,19511,16735,33460,41968,224921,224921
5,80,80.000,664,8248,8363,12500,16656,25009,36704,59656,59656
6,52,52.000,873,7398,8374,19389,18108,55435,82519,116867,116867
7,66,66.000,1192,8263,8388,14900,16721,33298,41778,68953,68953
8,77,77.000,783,8281,8390,13117,16694,24958,33366,65696,65696
9,73,73.000,579,7698,8370,13972,16691,23432,49612,126455,126455
10,74,74.000,910,8259,8422,13043,16664,25061,33401,66928,66928
11,72,72.000,880,8300,8442,13905,16741,25115,39544,56511,56511
12,76,76.000,921,8287,8371,13280,16696,25041,33459,58460,58460
13,51,51.000,8041,8333,16735,19457,25038,33249,49937,83334,83334
14,63,63.000,1128,8299,8453,15884,16833,33392,41759,58150,58150
15,65,65.000,1026,8297,8370,15262,16659,34633,50096,53781,53781
16,67,67.000,1348,8263,8379,14933,16731,33453,50043,58392,58392
17,69,69.000,828,8302,8397,14516,16731,29534,41554,66817,66817
18,78,78.000,737,8254,14867,12829,16678,17189,31384,61310,61310
19,40,40.000,1394,8349,9381,25189,33388,66837,121259,180915,180915
20,39,39.000,1401,8376,17073,26195,25450,58997,119269,166162,166162
21,52,52.000,1547,8396,11100,18668,17112,24911,29563,280761,280761
22,67,67.000,815,8365,15897,14848,17141,32072,33865,41719,41719
23,76,76.000,555,8347,8567,13216,17016,25314,32611,66898,66898
24,58,58.000,864,8384,13950,17305,17354,33305,42195,95205,95205
25,72,72.000,494,8290,8425,13844,17184,25275,36272,99086,99086
26,73,73.000,1284,8254,8486,13732,17010,28522,38274,50972,50972
27,73,73.000,1319,8248,8465,13948,17002,26185,34512,57464,57464
28,72,72.000,570,8307,8489,13419,16882,17364,30260,63322,63322
29,74,74.000,600,8306,8420,13612,16935,25234,33384,72604,72604
30,69,69.000,660,8314,8920,14629,19002,25611,33505,48461,48461
31,76,76.000,1249,8322,8415,12908,16811,25600,33850,45316,45316
32,65,65.000,573,8314,13861,15603,16946,26677,42097,75319,75319
33,65,65.000,603,8320,8434,15072,16837,33481,33836,101379,101379
34,64,64.000,744,8261,8500,15826,16831,25102,33015,201238,201238
35,60,60.000,948,8265,8414,16447,16917,33424,41834,141870,141870
36,65,65.000,710,8324,16628,15715,16943,33265,33411,51019,51019
37,69,69.000,678,8249,8378,14194,16829,33330,33435,116785,116785
38,71,71.000,789,8282,8345,14238,16618,18756,33545,140917,140917
39,58,58.000,797,8305,13944,17060,17557,31085,33373,169566,169566
40,42,42.000,493,8200,8342,23655,8534,21835,94655,277292,277292
41,72,72.000,491,8286,8406,13931,16834,27309,33627,73539,73539
42,56,56.000,2186,8341,16645,17774,25050,33340,39227,101557,101557
43,78,78.000,613,8278,8396,12873,16671,26925,33704,50349,50349
44,67,67.000,1084,8306,8527,14978,16781,25157,33413,140359,140359
45,52,52.000,782,8310,16618,19137,16866,25220,34205,249638,249638
46,64,64.000,793,8289,9065,15798,16790,33463,41786,66793,66793
47,75,75.000,1106,8292,8391,13411,16730,25139,33497,58845,58845
48,60,60.000,1307,8328,8571,17067,18126,33283,58291,108682,108682
49,46,46.000,1231,8331,16732,20709,25091,34083,49955,100758,100758
50,50,50.000,594,8287,8470,23014,16838,33321,58416,316852,316852
51,50,50.000,723,8302,8850,17043,16866,41381,59710,83642,83642
52,69,69.000,811,8306,8426,14397,16753,33238,33881,98666,98666
53,64,64.000,1320,8299,16599,15665,16887,33408,36792,66606,66606
54,65,65.000,1417,8290,8468,15291,16735,25540,41881,86908,86908
55,61,61.000,1170,8333,16681,16563,16836,31999,33701,66745,66745
56,11,11.000,8259,23023,45708,90950,198190,238435,255427,255427,255427
57,62,62.000,1017,8304,8419,16016,16769,27108,50049,100204,100204
58,68,68.000,1121,8264,8411,14666,16803,33467,33643,58293,58293
59,61,61.000,1248,8293,8507,15899,22136,33461,33557,53233,53233
