Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.800,2.219,1.071,1.649,1.797,2.021,3.769,5.906,5.906,5.906,0.451
5,3.400,1.278,0.769,1.018,1.395,1.484,1.597,1.647,1.647,1.647,0.782
10,2.800,1.183,0.668,0.936,1.237,1.401,1.704,1.732,1.732,1.732,0.845
15,2.000,1.270,0.657,1.220,1.316,1.400,1.858,1.858,1.858,1.858,0.787
20,3.200,1.124,0.556,0.779,1.270,1.429,1.566,1.574,1.574,1.574,0.890
25,3.200,1.162,0.547,1.072,1.236,1.389,1.488,1.668,1.668,1.668,0.860
30,2.600,1.343,0.694,1.194,1.346,1.597,1.714,1.718,1.718,1.718,0.744
35,2.200,1.358,0.830,1.031,1.479,1.718,1.740,1.798,1.798,1.798,0.736
40,2.800,1.024,0.532,0.747,1.177,1.237,1.308,1.481,1.481,1.481,0.976
45,2.600,1.205,0.673,1.071,1.237,1.426,1.489,1.965,1.965,1.965,0.830
50,2.000,1.161,0.730,1.017,1.216,1.361,1.575,1.575,1.575,1.575,0.861
55,3.600,1.057,0.622,0.930,1.058,1.284,1.439,1.440,1.440,1.440,0.946
