Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,ReadRecord,1654434482.374021,1817,0,1
1,ReadRecord,1654434482.375885,486,0,1
4,UpdateRecord,1654434482.376380,27441,0,1
1,ReadRecord,1654434482.403840,601,0,1
1,ReadRecord,1654434482.404462,547,0,1
6,ReadModifyWriteRecord,1654434482.405021,26123,0,1
5,DeleteRecord,1654434482.431160,8413,0,1
1,ReadRecord,1654434482.439590,623,0,1
4,UpdateRecord,1654434482.440225,7504,0,1
4,UpdateRecord,1654434482.447740,8437,0,1
1,ReadRecord,1654434482.456189,539,0,1
1,ReadRecord,1654434482.456739,409,0,1
1,ReadRecord,1654434482.457157,394,0,1
6,ReadModifyWriteRecord,1654434482.457561,6934,0,1
1,ReadRecord,1654434482.464522,876,0,1
1,ReadRecord,1654434482.465446,832,0,1
1,ReadRecord,1654434482.466298,943,0,1
4,UpdateRecord,1654434482.467274,5759,0,1
3,ScanRecord,1654434482.473070,1479,0,1
6,ReadModifyWriteRecord,1654434482.474575,6686,0,1
1,ReadRecord,1654434482.481289,826,0,1
1,ReadRecord,1654434482.482136,742,0,1
2,InsertRecord,1654434482.482898,6715,0,1
1,ReadRecord,1654434482.489635,773,0,1
1,ReadRecord,1654434482.490428,738,0,1
1,ReadRecord,1654434482.491186,685,0,1
1,ReadRecord,1654434482.491890,658,0,1
1,ReadRecord,1654434482.492575,714,0,1
3,ScanRecord,1654434482.493311,1605,0,1
1,ReadRecord,1654434482.494938,734,0,1
1,ReadRecord,1654434482.495692,701,0,1
1,ReadRecord,1654434482.496412,739,0,1
1,ReadRecord,1654434482.497174,822,0,1
1,ReadRecord,1654434482.498016,735,0,1
5,DeleteRecord,1654434482.498772,7541,0,1
6,ReadModifyWriteRecord,1654434482.506344,8317,0,1
5,DeleteRecord,1654434482.514684,8317,0,1
1,ReadRecord,1654434482.523024,979,0,1
1,ReadRecord,1654434482.524025,792,0,1
1,ReadRecord,1654434482.524840,707,0,1
1,ReadRecord,1654434482.525566,870,0,1
5,DeleteRecord,1654434482.526462,4840,0,1
2,InsertRecord,1654434482.531332,8323,0,1
1,ReadRecord,1654434482.539715,1070,0,1
4,UpdateRecord,1654434482.540819,7182,0,1
6,ReadModifyWriteRecord,1654434482.548024,8351,0,1
6,ReadModifyWriteRecord,1654434482.556399,8257,0,1
5,DeleteRecord,1654434482.564684,8314,0,1
1,ReadRecord,1654434482.573027,1174,0,1
6,ReadModifyWriteRecord,1654434482.574232,7107,0,1
1,ReadRecord,1654434482.581365,1056,0,1
6,ReadModifyWriteRecord,1654434482.582444,7270,0,1
4,UpdateRecord,1654434482.589740,8292,0,1
1,ReadRecord,1654434482.598055,903,0,1
6,ReadModifyWriteRecord,1654434482.598980,7488,0,1
1,ReadRecord,1654434482.606499,1140,0,1
3,ScanRecord,1654434482.607669,2104,0,1
1,ReadRecord,1654434482.609799,882,0,1
4,UpdateRecord,1654434482.610704,37405,0,1
3,ScanRecord,1654434482.648139,1437,0,1
1,ReadRecord,1654434482.649609,973,0,1
1,ReadRecord,1654434482.650606,931,0,1
1,ReadRecord,1654434482.651561,912,0,1
1,ReadRecord,1654434482.652498,762,0,1
