Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,24.200,11.968,5.865,8.261,8.315,8.388,24.836,33.952,49.960,99.976,0.084
5,28.600,11.263,5.376,8.254,8.319,8.400,24.933,33.479,41.060,66.102,0.089
10,28.400,11.711,5.818,8.266,8.316,8.387,25.107,33.431,50.044,70.784,0.085
15,30.800,10.598,5.417,8.259,8.318,8.379,8.799,33.289,55.903,90.379,0.094
20,27.200,11.889,3.822,8.271,8.326,8.413,31.269,33.394,41.698,43.728,0.084
25,25.800,11.655,6.167,8.247,8.305,8.387,31.680,33.507,55.019,61.396,0.086
30,30.800,10.863,6.075,8.264,8.323,8.387,11.677,33.407,50.009,75.420,0.092
35,27.000,11.600,5.333,8.271,8.329,8.372,14.393,33.308,76.875,109.406,0.086
40,28.400,11.470,5.169,8.244,8.317,8.388,25.148,33.428,57.720,69.773,0.087
45,26.400,14.403,5.615,8.259,8.324,8.405,24.964,41.849,57.011,392.949,0.069
50,27.800,10.680,6.686,8.245,8.315,8.370,8.865,33.356,66.725,96.213,0.094
55,27.400,10.974,5.406,8.257,8.311,8.398,14.652,33.941,66.739,71.419,0.091
