Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,71.600,13.988,1.168,8.277,8.430,16.746,25.202,33.515,43.487,68.499,0.071
5,65.800,15.129,0.636,8.277,8.795,16.730,29.279,33.519,50.035,280.331,0.066
10,74.600,13.392,0.688,8.256,8.391,16.679,25.014,33.489,50.314,215.828,0.075
15,67.000,14.912,0.641,8.295,8.504,16.744,33.369,41.755,50.294,65.321,0.067
20,70.800,14.133,0.675,8.268,8.493,16.751,25.119,33.468,50.496,83.786,0.071
25,73.000,13.684,0.601,8.259,8.524,16.710,25.182,33.500,50.220,60.269,0.073
30,68.400,14.604,0.502,8.284,8.469,16.731,25.295,33.624,50.032,132.206,0.068
35,64.800,15.414,0.637,8.259,8.448,16.766,33.396,33.612,66.891,150.550,0.065
40,65.600,15.227,0.511,8.264,8.502,16.742,33.341,34.001,77.115,104.189,0.066
45,57.200,17.505,0.660,8.287,13.645,16.772,33.146,41.932,148.672,328.544,0.057
50,56.200,17.751,0.808,8.268,13.928,16.770,33.442,50.104,118.169,169.468,0.056
55,61.000,16.321,0.721,8.281,8.477,16.758,33.372,41.627,85.114,166.753,0.061
