Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,286,286.000,222,512,740,3480,5465,8345,11018,33365,57258
1,356,356.000,179,339,587,2800,1746,8252,11006,33322,56258
2,384,384.000,152,420,577,2660,1038,7595,8329,32619,113473
3,369,369.000,173,324,449,3060,1301,7940,8366,33260,237833
4,255,255.000,174,443,574,3296,1020,7861,8379,45345,177712
5,357,357.000,173,350,517,2792,1046,7652,8404,37570,99555
6,417,417.000,150,279,415,2390,638,7254,8346,42071,72910
7,464,464.000,140,265,456,2146,691,6938,8270,29844,105840
8,483,483.000,144,313,446,2062,703,7138,8362,26208,48705
9,179,179.000,136,244,427,6558,651,7033,22682,211945,293950
10,338,338.000,198,412,529,2431,824,7033,8494,34292,118705
11,486,486.000,142,250,377,2049,619,7504,8316,39570,60350
12,481,481.000,140,269,474,2054,662,7150,8303,31137,54305
13,475,475.000,136,274,412,2096,623,6940,8326,35170,99710
14,548,548.000,127,208,378,1816,550,4855,7561,37649,102962
15,326,326.000,140,312,435,3059,628,6513,8274,46841,233920
16,553,553.000,132,304,452,1800,633,6220,8292,22851,75168
17,693,693.000,117,203,342,1438,518,5448,7776,15165,58366
18,611,611.000,125,185,274,1646,506,6314,7960,28503,62305
19,686,686.000,128,238,365,1465,532,3556,7388,24144,59219
20,507,507.000,134,217,349,1934,546,6099,8322,22168,154844
21,588,588.000,118,229,341,1696,525,5278,7872,28335,108653
22,630,630.000,124,273,399,1621,559,4103,7428,30548,73597
23,723,723.000,114,190,339,1334,492,1801,7605,24657,56749
24,670,670.000,129,241,381,1497,562,4456,7808,25964,46643
25,545,545.000,138,302,396,2012,556,3491,7371,24392,302032
26,710,710.000,123,216,339,1251,493,1588,7087,15186,47223
27,755,755.000,123,191,286,1320,443,2245,7599,30346,42452
28,783,783.000,122,198,300,1271,444,3879,7076,14028,74527
29,575,575.000,130,311,416,1777,566,4096,7201,29943,95365
30,647,647.000,133,206,302,1644,454,1147,7017,11639,274858
31,578,578.000,126,290,375,1566,538,1567,7329,25259,146859
32,933,933.000,124,191,277,1067,416,904,6714,11276,48654
33,835,835.000,125,197,274,1223,393,1400,7393,21090,43652
34,725,725.000,117,206,311,1340,469,1800,6877,25027,51228
35,931,931.000,126,207,323,1069,477,894,5513,11249,56164
36,875,875.000,124,197,319,1133,463,1045,6577,10713,83740
37,653,653.000,128,215,319,1572,510,3112,6857,24044,116390
38,677,677.000,123,182,275,1460,479,3192,7396,30398,75242
39,785,785.000,133,187,299,1248,471,1652,7215,24356,64013
40,680,680.000,141,213,333,1465,502,5228,7758,16543,61594
41,838,838.000,129,229,337,1178,487,906,6604,10840,91161
42,826,826.000,112,319,394,1245,527,1025,6738,11645,49662
43,1014,1014.000,122,162,204,958,286,831,6024,10425,44084
44,804,804.000,126,211,341,1311,498,904,6524,12424,99464
45,730,730.000,123,253,364,1284,510,1432,7262,23893,44193
46,704,704.000,125,187,297,1404,464,2846,7611,32274,61038
47,839,839.000,130,190,292,1183,440,982,7257,11759,65899
48,839,839.000,128,183,246,1192,372,1106,7318,11309,70711
49,888,888.000,122,221,392,1120,553,1020,6384,12264,51996
50,737,737.000,135,267,371,1351,533,1177,7294,23597,48741
51,926,926.000,124,196,335,1093,462,810,5397,16902,61832
52,765,765.000,124,266,382,1280,507,863,6652,30643,55833
53,721,721.000,121,198,333,1372,512,823,6950,25729,95009
54,991,991.000,132,214,294,1003,434,744,5563,11171,71434
55,708,708.000,127,316,396,1406,529,930,7474,17528,99287
56,873,873.000,125,213,305,1151,420,828,6771,25081,48856
57,627,627.000,123,288,357,1642,498,756,5850,22450,276432
58,293,293.000,281,358,438,3264,571,888,25413,79591,117376
59,538,538.000,159,304,392,1844,524,1019,7146,36136,79302
