Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,30.000,19.927,5.919,14.732,16.684,17.260,38.513,45.608,75.163,87.707,0.050
5,33.000,18.813,4.539,8.405,16.645,16.800,33.434,41.714,108.932,166.935,0.053
10,30.800,18.256,3.123,8.357,16.622,16.772,33.368,42.636,100.196,250.800,0.055
15,28.600,20.785,2.974,8.506,16.694,21.441,34.621,50.295,91.530,101.689,0.048
20,31.200,18.466,3.176,15.022,16.653,16.754,32.883,42.484,68.905,100.150,0.054
25,33.200,18.236,1.930,12.833,16.663,16.781,33.377,38.392,66.680,83.274,0.055
30,29.800,20.275,7.070,16.522,16.697,17.178,33.479,44.325,79.319,168.692,0.049
35,33.400,18.624,7.681,13.475,16.647,16.771,33.322,41.718,75.884,84.765,0.054
40,30.200,18.870,5.335,8.956,16.659,16.818,27.636,50.174,83.487,93.521,0.053
45,28.800,19.041,7.138,16.103,16.681,16.797,33.251,41.635,70.031,92.017,0.053
50,32.600,18.647,7.047,16.070,16.679,16.775,27.812,41.719,72.237,74.969,0.054
55,32.000,18.635,3.440,13.349,16.668,16.779,33.362,38.939,75.130,133.372,0.054
