Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,44.800,1.050,0.172,0.424,0.599,1.027,2.482,3.717,5.543,7.737,0.952
5,52.600,0.836,0.124,0.362,0.508,0.852,2.101,2.766,4.652,6.100,1.196
10,63.600,0.823,0.127,0.351,0.476,0.879,2.061,2.765,4.542,6.005,1.215
15,66.200,0.771,0.124,0.310,0.440,0.841,1.851,2.705,4.384,6.065,1.298
20,77.200,0.649,0.118,0.259,0.404,0.698,1.533,2.146,3.887,4.513,1.541
25,86.000,0.614,0.130,0.242,0.379,0.659,1.387,1.934,3.540,5.271,1.629
30,80.800,0.551,0.125,0.223,0.358,0.581,1.246,1.633,2.664,5.056,1.815
35,76.200,0.577,0.118,0.233,0.356,0.552,1.203,1.880,3.268,5.262,1.732
40,103.800,0.544,0.113,0.228,0.327,0.542,1.291,1.906,2.993,5.047,1.838
45,110.400,0.501,0.116,0.203,0.333,0.516,1.039,1.607,2.877,4.688,1.994
50,112.400,0.480,0.124,0.207,0.326,0.501,0.907,1.417,2.655,5.383,2.081
55,115.200,0.453,0.122,0.214,0.333,0.493,0.916,1.206,2.080,5.022,2.206
