Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,65,65.000,1767,8294,8398,15436,16809,33206,33469,78172,78172
1,63,63.000,1458,8253,10447,16017,24965,33416,38051,57024,57024
2,73,73.000,989,8271,8360,13468,16705,31418,33524,53843,53843
3,60,60.000,1175,8220,8643,17504,16788,40542,64579,148648,148648
4,66,66.000,1203,8239,13572,14404,16788,24996,33177,108362,108362
5,69,69.000,870,8274,8780,14970,16789,33376,41748,50002,50002
6,63,63.000,1109,8292,8415,15615,16765,33297,33529,92822,92822
7,70,70.000,824,8268,8411,13934,16715,27436,33385,57054,57054
8,50,50.000,1129,8306,8386,20843,16774,33359,33491,381191,381191
9,71,71.000,759,8209,8341,13853,16780,31960,33534,76427,76427
10,60,60.000,1260,8266,16636,16270,16784,33993,41911,50039,50039
11,66,66.000,1254,8277,8391,15161,16700,33325,48765,75106,75106
12,65,65.000,1544,8317,8752,15387,16727,25201,33407,83301,83301
13,67,67.000,841,8247,8365,14807,16758,33264,47309,75784,75784
14,68,68.000,807,8287,8398,14838,16755,33493,41782,58552,58552
15,78,78.000,999,8289,8365,12717,16645,33140,33507,50085,50085
16,74,74.000,1480,8301,8370,13419,16679,25468,33354,60548,60548
17,59,59.000,607,8325,16545,17102,16820,33381,41773,67882,67882
18,68,68.000,720,8234,8422,15846,16737,33415,33630,112314,112314
19,58,58.000,1524,8273,15259,15917,16791,33496,40788,46969,46969
20,68,68.000,2018,8299,8458,14588,16748,29834,33355,57601,57601
21,67,67.000,2049,8292,8375,15429,16695,31796,33474,148013,148013
22,68,68.000,1068,8249,8374,14094,16681,25146,33562,116780,116780
23,70,70.000,1097,8232,8409,14299,16727,33278,33828,83757,83757
24,67,67.000,586,8239,8372,15054,16667,25033,33497,181078,181078
25,64,64.000,893,8302,8479,15637,16708,27375,33401,125118,125118
26,64,64.000,2069,8328,10883,15896,16727,33299,42308,75012,75012
27,59,59.000,1264,8234,16541,16528,16752,33395,40454,133496,133496
28,67,67.000,1320,8296,8379,14802,16694,25038,33424,115237,115237
29,63,63.000,670,8263,8423,16146,16800,33532,49956,82279,82279
30,68,68.000,778,8207,8499,14712,16742,34102,42233,50341,50341
31,71,71.000,1441,8233,8367,13977,16704,25151,33500,75609,75609
32,64,64.000,1277,8319,16278,15505,16716,25167,41757,99516,99516
33,65,65.000,717,8290,8478,15260,16766,33128,39926,66643,66643
34,57,57.000,581,8234,8387,17546,16741,33390,66104,148686,148686
35,70,70.000,1163,8256,8384,14657,16717,33322,44487,72286,72286
36,64,64.000,795,8293,8384,15362,16822,33386,41734,75224,75224
37,68,68.000,1037,8297,8400,14587,16723,33297,41663,74435,74435
38,69,69.000,1521,8266,8450,14494,16734,33268,35370,54971,54971
39,32,32.000,2429,8347,16668,31262,34065,84552,126634,167586,167586
40,58,58.000,970,8330,16641,17266,16895,33357,33977,100621,100621
41,61,61.000,1275,8280,14320,16266,16828,33435,38954,66786,66786
42,65,65.000,529,8292,8346,15364,16658,33690,50941,74527,74527
43,72,72.000,741,8276,8355,13898,16680,33275,34534,99260,99260
44,40,40.000,1169,8318,16556,24945,16764,50036,106067,316663,316663
45,72,72.000,813,8264,8438,14160,16760,25232,33462,58323,58323
46,62,62.000,895,8293,15499,15997,16849,33816,41773,50147,50147
47,72,72.000,1100,8266,8460,13664,16707,25062,33408,58346,58346
48,73,73.000,851,8265,8350,14170,16688,33359,41090,84056,84056
49,60,60.000,597,8267,10135,16110,16719,33407,41888,126602,126602
50,70,70.000,704,8284,8417,14290,16755,33205,37847,66733,66733
51,69,69.000,886,8282,8461,14497,16752,33318,41718,74833,74833
52,65,65.000,1386,8313,15251,15390,16711,33352,33457,94829,94829
53,76,76.000,1005,8269,8355,13050,16681,24907,33305,74959,74959
54,52,52.000,684,8301,15843,19238,16756,50138,81775,84848,84848
55,71,71.000,1147,8211,8425,14088,16726,33295,33458,71866,71866
56,70,70.000,652,8310,8390,14417,16720,33310,41615,50057,50057
57,70,70.000,978,8263,8426,14171,16728,33331,40439,56059,56059
58,72,72.000,627,8276,8398,13783,16697,30486,41906,58542,58542
59,49,49.000,1384,8335,16589,18881,16764,41723,50056,82699,82699
