Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,62.000,16.118,0.898,8.286,8.829,16.753,33.473,41.838,75.163,106.184,0.062
5,67.600,14.763,0.625,8.285,8.404,16.720,26.930,37.041,68.736,166.935,0.068
10,68.200,14.648,0.556,8.269,8.367,16.728,32.256,39.936,74.069,250.800,0.068
15,65.800,15.260,0.765,8.287,8.382,16.731,33.283,41.649,90.379,102.919,0.066
20,66.000,15.079,0.682,8.292,8.728,16.714,32.883,37.098,68.011,100.150,0.066
25,68.600,14.567,0.961,8.278,8.447,16.720,33.353,35.935,58.515,83.274,0.069
30,68.000,14.739,0.640,8.283,8.395,16.721,32.261,36.713,63.290,168.692,0.068
35,69.600,14.299,0.545,8.287,8.399,16.693,30.357,33.618,75.884,109.406,0.070
40,67.400,14.823,0.665,8.282,8.430,16.724,27.636,33.817,69.773,93.521,0.067
45,62.400,16.032,0.757,8.286,8.433,16.728,29.447,41.767,66.692,392.949,0.062
50,66.600,14.970,0.569,8.299,8.440,16.709,25.106,33.686,72.237,116.961,0.067
55,66.200,15.063,0.562,8.286,8.457,16.715,25.172,37.011,71.419,133.372,0.066
