Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,ScanRecord,1654428021.879716,752,0,1
1,ReadRecord,1654428021.880492,631,0,1
5,DeleteRecord,1654428021.881142,7388,0,1
1,ReadRecord,1654428021.888554,741,0,1
4,UpdateRecord,1654428021.889316,727,0,1
6,ReadModifyWriteRecord,1654428021.890064,6282,0,1
1,ReadRecord,1654428021.896370,662,0,1
2,InsertRecord,1654428021.897052,7588,0,1
1,ReadRecord,1654428021.904664,644,0,1
1,ReadRecord,1654428021.905328,719,0,1
4,UpdateRecord,1654428021.906067,6902,0,1
1,ReadRecord,1654428021.912993,740,0,1
1,ReadRecord,1654428021.913754,624,0,1
1,ReadRecord,1654428021.914397,581,0,1
5,DeleteRecord,1654428021.914998,6280,0,1
3,ScanRecord,1654428021.921360,665,0,1
5,DeleteRecord,1654428021.922045,7549,0,1
3,ScanRecord,1654428021.929613,792,0,1
4,UpdateRecord,1654428021.930425,7552,0,1
1,ReadRecord,1654428021.938003,698,0,1
1,ReadRecord,1654428021.938723,621,0,1
1,ReadRecord,1654428021.939394,835,0,1
1,ReadRecord,1654428021.940269,791,0,1
2,InsertRecord,1654428021.941085,5308,0,1
6,ReadModifyWriteRecord,1654428021.946422,8255,0,1
5,DeleteRecord,1654428021.954702,8368,0,1
1,ReadRecord,1654428021.963102,913,0,1
1,ReadRecord,1654428021.964037,921,0,1
4,UpdateRecord,1654428021.964980,6425,0,1
2,InsertRecord,1654428021.971432,8272,0,1
3,ScanRecord,1654428021.979741,749,0,1
2,InsertRecord,1654428021.980510,7639,0,1
1,ReadRecord,1654428021.988170,930,0,1
3,ScanRecord,1654428021.989122,776,0,1
3,ScanRecord,1654428021.989921,1680,0,1
1,ReadRecord,1654428021.991622,707,0,1
4,UpdateRecord,1654428021.992358,29111,0,1
6,ReadModifyWriteRecord,1654428022.021493,8263,0,1
1,ReadRecord,1654428022.029779,793,0,1
5,DeleteRecord,1654428022.030597,7538,0,1
2,InsertRecord,1654428022.038162,8239,0,1
2,InsertRecord,1654428022.046430,8349,0,1
1,ReadRecord,1654428022.054804,800,0,1
1,ReadRecord,1654428022.055633,755,0,1
1,ReadRecord,1654428022.056422,707,0,1
6,ReadModifyWriteRecord,1654428022.057155,6059,0,1
3,ScanRecord,1654428022.063236,1540,0,1
4,UpdateRecord,1654428022.064802,6658,0,1
6,ReadModifyWriteRecord,1654428022.071491,1155,0,1
4,UpdateRecord,1654428022.072667,7115,0,1
1,ReadRecord,1654428022.079810,799,0,1
5,DeleteRecord,1654428022.080632,7477,0,1
5,DeleteRecord,1654428022.088146,737,0,1
3,ScanRecord,1654428022.088903,966,0,1
2,InsertRecord,1654428022.089889,6512,0,1
4,UpdateRecord,1654428022.096423,8439,0,1
6,ReadModifyWriteRecord,1654428022.104883,1026,0,1
1,ReadRecord,1654428022.105927,557,0,1
4,UpdateRecord,1654428022.106500,6696,0,1
2,InsertRecord,1654428022.113217,8337,0,1
1,ReadRecord,1654428022.121576,708,0,1
1,ReadRecord,1654428022.122304,800,0,1
4,UpdateRecord,1654428022.123132,6765,0,1
6,ReadModifyWriteRecord,1654428022.129920,8356,0,1
1,ReadRecord,1654428022.138303,1025,0,1
5,DeleteRecord,1654428022.139355,7251,0,1
4,UpdateRecord,1654428022.146634,911,0,1
1,ReadRecord,1654428022.147565,565,0,1
3,ScanRecord,1654428022.148148,2366,0,1
1,ReadRecord,1654428022.150532,575,0,1
1,ReadRecord,1654428022.151125,559,0,1
1,ReadRecord,1654428022.151701,651,0,1
1,ReadRecord,1654428022.152380,606,0,1
6,ReadModifyWriteRecord,1654428022.153008,1100,0,1
1,ReadRecord,1654428022.154126,600,0,1
1,ReadRecord,1654428022.154748,710,0,1
5,DeleteRecord,1654428022.155482,609,0,1
1,ReadRecord,1654428022.156112,562,0,1
1,ReadRecord,1654428022.156696,591,0,1
1,ReadRecord,1654428022.157311,614,0,1
4,UpdateRecord,1654428022.157945,5319,0,1
1,ReadRecord,1654428022.163284,682,0,1
1,ReadRecord,1654428022.163989,716,0,1
1,ReadRecord,1654428022.164723,570,0,1
4,UpdateRecord,1654428022.165315,6160,0,1
1,ReadRecord,1654428022.171495,694,0,1
1,ReadRecord,1654428022.172209,694,0,1
4,UpdateRecord,1654428022.172930,751,0,1
1,ReadRecord,1654428022.173705,729,0,1
6,ReadModifyWriteRecord,1654428022.174458,5385,0,1
5,DeleteRecord,1654428022.179876,774,0,1
1,ReadRecord,1654428022.180669,660,0,1
1,ReadRecord,1654428022.181346,619,0,1
3,ScanRecord,1654428022.181981,761,0,1
1,ReadRecord,1654428022.182764,583,0,1
2,InsertRecord,1654428022.183369,4811,0,1
3,ScanRecord,1654428022.188201,757,0,1
1,ReadRecord,1654428022.188976,524,0,1
6,ReadModifyWriteRecord,1654428022.189518,7054,0,1
5,DeleteRecord,1654428022.196592,559,0,1
1,ReadRecord,1654428022.197169,517,0,1
3,ScanRecord,1654428022.197704,5125,0,1
3,ScanRecord,1654428022.202853,703,0,1
1,ReadRecord,1654428022.203581,748,0,1
1,ReadRecord,1654428022.204352,691,0,1
4,UpdateRecord,1654428022.205066,8201,0,1
1,ReadRecord,1654428022.213298,726,0,1
3,ScanRecord,1654428022.214044,923,0,1
3,ScanRecord,1654428022.214991,2047,0,1
1,ReadRecord,1654428022.217057,515,0,1
6,ReadModifyWriteRecord,1654428022.217594,794,0,1
2,InsertRecord,1654428022.218414,11510,0,1
1,ReadRecord,1654428022.229941,467,0,1
6,ReadModifyWriteRecord,1654428022.230417,530,0,1
5,DeleteRecord,1654428022.230956,7497,0,1
6,ReadModifyWriteRecord,1654428022.238470,8121,0,1
1,ReadRecord,1654428022.246607,513,0,1
3,ScanRecord,1654428022.247129,423,0,1
1,ReadRecord,1654428022.247560,359,0,1
1,ReadRecord,1654428022.247926,335,0,1
1,ReadRecord,1654428022.248267,227,0,1
1,ReadRecord,1654428022.248501,236,0,1
2,InsertRecord,1654428022.248744,6235,0,1
3,ScanRecord,1654428022.254989,623,0,1
4,UpdateRecord,1654428022.255621,7793,0,1
6,ReadModifyWriteRecord,1654428022.263435,8333,0,1
1,ReadRecord,1654428022.271790,839,0,1
1,ReadRecord,1654428022.272685,673,0,1
5,DeleteRecord,1654428022.273382,750,0,1
5,DeleteRecord,1654428022.274156,5873,0,1
1,ReadRecord,1654428022.280095,709,0,1
1,ReadRecord,1654428022.280821,558,0,1
6,ReadModifyWriteRecord,1654428022.281393,1001,0,1
3,ScanRecord,1654428022.282412,786,0,1
4,UpdateRecord,1654428022.283217,5116,0,1
6,ReadModifyWriteRecord,1654428022.288353,1102,0,1
1,ReadRecord,1654428022.289476,613,0,1
1,ReadRecord,1654428022.290103,686,0,1
6,ReadModifyWriteRecord,1654428022.290802,5880,0,1
1,ReadRecord,1654428022.296702,716,0,1
1,ReadRecord,1654428022.297440,644,0,1
5,DeleteRecord,1654428022.298102,689,0,1
3,ScanRecord,1654428022.298813,731,0,1
2,InsertRecord,1654428022.299565,5395,0,1
1,ReadRecord,1654428022.304978,746,0,1
1,ReadRecord,1654428022.305740,670,0,1
5,DeleteRecord,1654428022.306426,6941,0,1
3,ScanRecord,1654428022.313386,932,0,1
1,ReadRecord,1654428022.314334,605,0,1
1,ReadRecord,1654428022.314958,606,0,1
1,ReadRecord,1654428022.315584,656,0,1
4,UpdateRecord,1654428022.316259,725,0,1
1,ReadRecord,1654428022.317001,597,0,1
1,ReadRecord,1654428022.317611,479,0,1
1,ReadRecord,1654428022.318102,534,0,1
5,DeleteRecord,1654428022.318650,453,0,1
6,ReadModifyWriteRecord,1654428022.319115,786,0,1
4,UpdateRecord,1654428022.319913,613,0,1
1,ReadRecord,1654428022.320543,591,0,1
3,ScanRecord,1654428022.321146,568,0,1
1,ReadRecord,1654428022.321724,507,0,1
1,ReadRecord,1654428022.322244,426,0,1
6,ReadModifyWriteRecord,1654428022.322683,7318,0,1
1,ReadRecord,1654428022.330019,540,0,1
1,ReadRecord,1654428022.330575,448,0,1
3,ScanRecord,1654428022.331034,1155,0,1
6,ReadModifyWriteRecord,1654428022.332200,7384,0,1
3,ScanRecord,1654428022.339601,649,0,1
1,ReadRecord,1654428022.340271,457,0,1
5,DeleteRecord,1654428022.340740,6546,0,1
1,ReadRecord,1654428022.347304,573,0,1
1,ReadRecord,1654428022.347891,428,0,1
1,ReadRecord,1654428022.348330,333,0,1
4,UpdateRecord,1654428022.348671,6903,0,1
1,ReadRecord,1654428022.355588,414,0,1
1,ReadRecord,1654428022.356014,306,0,1
6,ReadModifyWriteRecord,1654428022.356334,7573,0,1
1,ReadRecord,1654428022.363922,487,0,1
1,ReadRecord,1654428022.364432,392,0,1
1,ReadRecord,1654428022.364836,349,0,1
3,ScanRecord,1654428022.365193,1780,0,1
6,ReadModifyWriteRecord,1654428022.366988,5256,0,1
3,ScanRecord,1654428022.372260,529,0,1
1,ReadRecord,1654428022.372805,423,0,1
3,ScanRecord,1654428022.373240,1657,0,1
1,ReadRecord,1654428022.374906,451,0,1
1,ReadRecord,1654428022.375365,386,0,1
1,ReadRecord,1654428022.375761,339,0,1
1,ReadRecord,1654428022.376107,287,0,1
1,ReadRecord,1654428022.376403,311,0,1
1,ReadRecord,1654428022.376723,295,0,1
3,ScanRecord,1654428022.377028,1615,0,1
1,ReadRecord,1654428022.378651,308,0,1
5,DeleteRecord,1654428022.378966,10011,0,1
3,ScanRecord,1654428022.388993,530,0,1
1,ReadRecord,1654428022.389532,469,0,1
5,DeleteRecord,1654428022.390012,7271,0,1
2,InsertRecord,1654428022.397297,8337,0,1
5,DeleteRecord,1654428022.405645,517,0,1
5,DeleteRecord,1654428022.406171,7855,0,1
4,UpdateRecord,1654428022.414039,8261,0,1
5,DeleteRecord,1654428022.422314,572,0,1
3,ScanRecord,1654428022.422900,1334,0,1
4,UpdateRecord,1654428022.424245,6391,0,1
1,ReadRecord,1654428022.430653,587,0,1
6,ReadModifyWriteRecord,1654428022.431252,7836,0,1
5,DeleteRecord,1654428022.439108,608,0,1
1,ReadRecord,1654428022.439730,458,0,1
1,ReadRecord,1654428022.440201,426,0,1
1,ReadRecord,1654428022.440640,523,0,1
4,UpdateRecord,1654428022.441176,31227,0,1
1,ReadRecord,1654428022.472419,621,0,1
1,ReadRecord,1654428022.473050,470,0,1
3,ScanRecord,1654428022.473528,2283,0,1
5,DeleteRecord,1654428022.475823,543,0,1
6,ReadModifyWriteRecord,1654428022.476380,4265,0,1
3,ScanRecord,1654428022.480658,3897,0,1
4,UpdateRecord,1654428022.484573,4432,0,1
1,ReadRecord,1654428022.489019,846,0,1
1,ReadRecord,1654428022.489884,518,0,1
3,ScanRecord,1654428022.490412,479,0,1
1,ReadRecord,1654428022.490900,519,0,1
6,ReadModifyWriteRecord,1654428022.491434,867,0,1
1,ReadRecord,1654428022.492322,521,0,1
4,UpdateRecord,1654428022.492857,591,0,1
1,ReadRecord,1654428022.493459,473,0,1
5,DeleteRecord,1654428022.493947,11786,0,1
1,ReadRecord,1654428022.505757,608,0,1
1,ReadRecord,1654428022.506378,522,0,1
1,ReadRecord,1654428022.506910,362,0,1
1,ReadRecord,1654428022.507279,458,0,1
1,ReadRecord,1654428022.507748,357,0,1
5,DeleteRecord,1654428022.508115,5871,0,1
1,ReadRecord,1654428022.513996,416,0,1
6,ReadModifyWriteRecord,1654428022.514418,7935,0,1
1,ReadRecord,1654428022.522364,487,0,1
1,ReadRecord,1654428022.522860,390,0,1
2,InsertRecord,1654428022.523257,7463,0,1
1,ReadRecord,1654428022.530731,531,0,1
1,ReadRecord,1654428022.531270,291,0,1
1,ReadRecord,1654428022.531566,348,0,1
4,UpdateRecord,1654428022.531923,7222,0,1
1,ReadRecord,1654428022.539160,580,0,1
1,ReadRecord,1654428022.539753,343,0,1
1,ReadRecord,1654428022.540101,250,0,1
1,ReadRecord,1654428022.540358,255,0,1
5,DeleteRecord,1654428022.540619,236,0,1
1,ReadRecord,1654428022.540860,246,0,1
1,ReadRecord,1654428022.541112,236,0,1
6,ReadModifyWriteRecord,1654428022.541352,393,0,1
1,ReadRecord,1654428022.541750,255,0,1
1,ReadRecord,1654428022.542010,263,0,1
6,ReadModifyWriteRecord,1654428022.542281,5076,0,1
1,ReadRecord,1654428022.547366,299,0,1
1,ReadRecord,1654428022.547674,314,0,1
6,ReadModifyWriteRecord,1654428022.548008,7816,0,1
4,UpdateRecord,1654428022.555846,8263,0,1
3,ScanRecord,1654428022.564118,372,0,1
6,ReadModifyWriteRecord,1654428022.564496,41341,0,1
5,DeleteRecord,1654428022.605848,31863,0,1
1,ReadRecord,1654428022.637727,1097,0,1
3,ScanRecord,1654428022.638840,908,0,1
1,ReadRecord,1654428022.639763,976,0,1
1,ReadRecord,1654428022.640760,792,0,1
3,ScanRecord,1654428022.641565,1017,0,1
1,ReadRecord,1654428022.642599,958,0,1
1,ReadRecord,1654428022.643570,843,0,1
1,ReadRecord,1654428022.644429,857,0,1
5,DeleteRecord,1654428022.645300,851,0,1
3,ScanRecord,1654428022.646163,923,0,1
1,ReadRecord,1654428022.647099,790,0,1
1,ReadRecord,1654428022.647901,729,0,1
1,ReadRecord,1654428022.648642,686,0,1
1,ReadRecord,1654428022.649339,545,0,1
1,ReadRecord,1654428022.649897,699,0,1
1,ReadRecord,1654428022.650607,761,0,1
1,ReadRecord,1654428022.651377,811,0,1
3,ScanRecord,1654428022.652198,900,0,1
1,ReadRecord,1654428022.653109,778,0,1
4,UpdateRecord,1654428022.653896,26975,0,1
1,ReadRecord,1654428022.680887,864,0,1
6,ReadModifyWriteRecord,1654428022.681765,7461,0,1
1,ReadRecord,1654428022.689241,849,0,1
6,ReadModifyWriteRecord,1654428022.690102,7472,0,1
2,InsertRecord,1654428022.697586,8298,0,1
3,ScanRecord,1654428022.705895,656,0,1
1,ReadRecord,1654428022.706561,419,0,1
6,ReadModifyWriteRecord,1654428022.706988,49005,0,1
1,ReadRecord,1654428022.756003,591,0,1
1,ReadRecord,1654428022.756603,480,0,1
1,ReadRecord,1654428022.757091,520,0,1
1,ReadRecord,1654428022.757618,398,0,1
1,ReadRecord,1654428022.758022,486,0,1
1,ReadRecord,1654428022.758515,513,0,1
1,ReadRecord,1654428022.759038,488,0,1
6,ReadModifyWriteRecord,1654428022.759535,904,0,1
2,InsertRecord,1654428022.760449,3725,0,1
5,DeleteRecord,1654428022.764181,8438,0,1
1,ReadRecord,1654428022.772630,759,0,1
1,ReadRecord,1654428022.773401,678,0,1
1,ReadRecord,1654428022.774088,633,0,1
5,DeleteRecord,1654428022.774731,6131,0,1
3,ScanRecord,1654428022.780874,4086,0,1
4,UpdateRecord,1654428022.784971,4210,0,1
5,DeleteRecord,1654428022.789190,8390,0,1
5,DeleteRecord,1654428022.797605,815,0,1
2,InsertRecord,1654428022.798430,7490,0,1
4,UpdateRecord,1654428022.805935,8330,0,1
3,ScanRecord,1654428022.814277,1612,0,1
1,ReadRecord,1654428022.815899,412,0,1
1,ReadRecord,1654428022.816315,378,0,1
5,DeleteRecord,1654428022.816702,5826,0,1
6,ReadModifyWriteRecord,1654428022.822541,584,0,1
1,ReadRecord,1654428022.823131,361,0,1
1,ReadRecord,1654428022.823495,267,0,1
4,UpdateRecord,1654428022.823767,7126,0,1
3,ScanRecord,1654428022.830901,612,0,1
3,ScanRecord,1654428022.831518,670,0,1
4,UpdateRecord,1654428022.832194,7191,0,1
6,ReadModifyWriteRecord,1654428022.839395,1011,0,1
5,DeleteRecord,1654428022.840413,7247,0,1
3,ScanRecord,1654428022.847668,2372,0,1
1,ReadRecord,1654428022.850049,399,0,1
4,UpdateRecord,1654428022.850453,395,0,1
3,ScanRecord,1654428022.850852,566,0,1
3,ScanRecord,1654428022.851422,364,0,1
3,ScanRecord,1654428022.851790,198,0,1
5,DeleteRecord,1654428022.851990,70819,0,1
1,ReadRecord,1654428022.922827,737,0,1
1,ReadRecord,1654428022.923573,636,0,1
4,UpdateRecord,1654428022.924218,768,0,1
5,DeleteRecord,1654428022.924996,621,0,1
6,ReadModifyWriteRecord,1654428022.925627,5366,0,1
4,UpdateRecord,1654428022.930997,8419,0,1
5,DeleteRecord,1654428022.939427,428,0,1
1,ReadRecord,1654428022.939863,452,0,1
1,ReadRecord,1654428022.940322,413,0,1
1,ReadRecord,1654428022.940741,399,0,1
4,UpdateRecord,1654428022.941145,6575,0,1
1,ReadRecord,1654428022.947735,837,0,1
1,ReadRecord,1654428022.948584,596,0,1
1,ReadRecord,1654428022.949194,534,0,1
1,ReadRecord,1654428022.949736,534,0,1
4,UpdateRecord,1654428022.950279,615,0,1
1,ReadRecord,1654428022.950902,537,0,1
1,ReadRecord,1654428022.951447,470,0,1
4,UpdateRecord,1654428022.951925,561,0,1
1,ReadRecord,1654428022.952494,499,0,1
3,ScanRecord,1654428022.953002,493,0,1
3,ScanRecord,1654428022.953503,548,0,1
3,ScanRecord,1654428022.954059,579,0,1
3,ScanRecord,1654428022.954647,5633,0,1
4,UpdateRecord,1654428022.960290,4123,0,1
5,DeleteRecord,1654428022.964422,8387,0,1
1,ReadRecord,1654428022.972820,573,0,1
1,ReadRecord,1654428022.973402,656,0,1
6,ReadModifyWriteRecord,1654428022.974070,7104,0,1
