Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,6.200,73.425,43.031,58.313,65.410,87.134,108.359,113.469,158.606,158.606,0.014
5,5.200,88.163,50.207,58.233,80.527,90.604,104.269,122.281,441.232,441.232,0.011
10,5.800,70.528,40.779,54.499,66.317,79.755,93.320,122.350,212.800,212.800,0.014
15,6.200,69.760,43.319,58.250,58.467,83.488,92.236,122.480,122.575,122.575,0.014
20,6.000,78.577,44.677,56.452,83.493,93.219,124.912,130.094,134.542,134.542,0.013
25,4.400,80.674,41.685,56.280,58.641,89.565,141.493,160.102,200.934,200.934,0.012
30,4.800,79.068,46.499,58.274,83.793,100.070,103.534,104.460,142.302,142.302,0.013
35,6.600,77.109,33.307,50.073,74.962,91.751,100.072,125.132,216.993,216.993,0.013
40,5.600,82.401,41.804,56.725,66.492,92.781,125.135,215.442,282.420,282.420,0.012
45,4.200,70.514,40.334,50.024,58.396,84.740,104.490,121.693,126.640,126.640,0.014
50,2.200,108.714,45.636,57.734,69.778,149.988,196.851,325.136,325.136,325.136,0.009
55,5.200,74.724,43.407,58.373,74.926,93.542,108.360,110.390,116.609,116.609,0.013
