Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.800,2.496,1.488,1.736,2.433,3.333,3.466,4.364,4.364,4.364,0.401
5,4.000,2.259,1.088,1.499,2.119,2.953,3.742,3.977,3.977,3.977,0.443
10,2.400,2.100,1.262,1.665,2.068,2.490,2.613,4.112,4.112,4.112,0.476
15,2.800,1.906,1.141,1.494,1.787,2.166,2.744,3.426,3.426,3.426,0.525
20,1.600,2.650,1.430,2.488,2.868,3.035,3.559,3.559,3.559,3.559,0.377
25,3.800,2.113,1.283,1.453,2.157,2.492,3.104,4.108,4.108,4.108,0.473
30,2.800,2.156,1.278,1.573,2.388,2.829,2.861,3.235,3.235,3.235,0.464
35,2.600,2.101,1.332,1.548,1.811,2.699,2.759,2.959,2.959,2.959,0.476
40,3.000,2.051,1.167,1.470,2.126,2.709,2.891,3.018,3.018,3.018,0.488
45,1.800,2.577,1.751,2.313,2.799,2.977,3.076,3.076,3.076,3.076,0.388
50,1.800,2.326,1.360,1.916,2.382,2.906,3.021,3.021,3.021,3.021,0.430
55,2.000,2.353,1.169,1.945,2.837,2.854,2.911,2.911,2.911,2.911,0.425
