Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,29.200,6.881,0.164,0.358,6.130,9.028,15.909,16.702,41.518,64.313,0.145
5,31.400,6.887,0.150,0.296,0.526,8.407,15.910,16.689,58.621,289.215,0.145
10,46.000,4.055,0.132,0.303,0.412,7.668,11.049,14.883,33.429,55.859,0.247
15,48.800,4.387,0.117,0.258,0.405,6.517,14.225,16.643,48.617,64.512,0.228
20,47.200,3.334,0.113,0.243,0.333,3.651,8.555,14.925,44.400,58.073,0.300
25,57.000,2.723,0.125,0.225,0.326,0.524,8.513,14.585,35.263,63.819,0.367
30,60.600,2.526,0.119,0.193,0.310,0.483,7.860,14.426,31.286,52.758,0.396
35,53.800,1.927,0.110,0.191,0.313,0.427,6.857,13.210,33.137,53.054,0.519
40,62.600,1.399,0.118,0.211,0.293,0.382,4.241,7.912,21.067,41.196,0.715
45,76.200,1.304,0.113,0.171,0.264,0.409,3.986,8.357,16.949,32.412,0.767
50,79.200,2.262,0.121,0.186,0.286,0.401,6.083,11.716,38.570,86.447,0.442
55,72.600,1.183,0.121,0.181,0.286,0.396,0.600,8.305,14.835,16.694,0.845
