Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,31.400,8.123,0.205,0.536,7.012,8.611,16.594,29.448,49.548,63.816,0.123
5,34.600,7.663,0.185,0.377,0.632,8.284,15.414,16.838,69.217,308.365,0.130
10,44.800,5.054,0.169,0.383,0.557,7.304,14.453,16.910,39.608,58.415,0.198
15,45.600,4.707,0.153,0.317,0.502,6.973,14.099,16.286,61.147,66.676,0.212
20,56.200,3.480,0.154,0.290,0.436,4.877,9.407,13.977,42.069,74.142,0.287
25,59.200,3.129,0.156,0.277,0.387,0.633,8.613,15.195,45.743,84.046,0.320
30,57.200,2.337,0.149,0.235,0.351,0.592,8.331,14.475,31.336,46.536,0.428
35,42.400,5.072,0.133,0.244,0.361,0.520,10.821,14.250,57.596,318.054,0.197
40,71.400,2.079,0.142,0.250,0.340,0.491,7.519,12.882,30.370,41.607,0.481
45,76.000,1.525,0.145,0.217,0.331,0.488,0.788,7.609,32.786,50.792,0.656
50,75.000,1.341,0.142,0.223,0.336,0.462,0.654,7.953,32.491,44.856,0.746
55,80.600,1.018,0.144,0.226,0.355,0.484,0.645,6.747,12.900,20.730,0.982
