Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,33.000,17.584,2.892,8.392,16.632,16.754,33.308,33.563,79.980,92.508,0.057
5,27.400,24.534,6.212,8.850,16.961,21.671,39.412,76.964,200.972,220.828,0.041
10,29.200,18.594,4.166,16.670,16.835,17.160,26.147,33.656,44.581,53.830,0.054
15,35.200,17.951,4.477,16.401,16.768,16.967,33.360,40.184,42.151,50.669,0.056
20,34.600,17.295,6.913,16.578,16.750,16.873,25.044,33.490,42.152,44.772,0.058
25,33.200,17.448,3.134,14.167,16.691,16.849,27.303,33.496,50.303,109.973,0.057
30,29.800,19.975,6.855,16.557,16.719,16.879,33.396,41.777,122.553,123.198,0.050
35,34.200,18.699,2.901,16.067,16.710,16.855,33.350,38.762,91.864,123.266,0.053
40,36.400,17.397,5.804,9.643,16.714,16.845,31.168,33.475,58.829,77.280,0.057
45,29.800,20.321,4.773,16.622,16.711,17.186,33.414,33.680,100.162,157.451,0.049
50,33.200,17.683,2.697,16.235,16.700,16.893,32.620,33.503,44.462,50.449,0.057
55,33.400,17.180,3.177,8.451,16.669,16.784,32.596,33.485,66.694,71.994,0.058
