Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.200,1.857,0.989,1.481,1.745,2.345,2.925,3.331,3.331,3.331,0.538
5,2.600,1.223,0.759,0.899,1.156,1.539,1.649,1.695,1.695,1.695,0.817
10,2.800,1.390,0.807,1.049,1.260,1.544,2.054,2.885,2.885,2.885,0.719
15,2.600,1.232,0.607,0.999,1.212,1.524,1.644,1.665,1.665,1.665,0.811
20,1.800,1.246,0.586,1.068,1.499,1.527,1.730,1.730,1.730,1.730,0.803
25,1.200,1.194,0.670,0.893,1.320,1.438,1.581,1.581,1.581,1.581,0.837
30,2.800,1.213,0.581,1.147,1.297,1.441,1.498,1.531,1.531,1.531,0.824
35,1.200,1.238,0.795,1.037,1.335,1.521,1.574,1.574,1.574,1.574,0.808
40,2.200,1.135,0.529,0.741,1.250,1.435,1.444,1.651,1.651,1.651,0.881
45,3.000,1.212,0.597,0.895,1.253,1.426,1.589,1.817,1.817,1.817,0.825
50,3.200,1.091,0.684,0.886,1.096,1.386,1.455,1.536,1.536,1.536,0.916
55,2.800,1.184,0.627,0.978,1.321,1.390,1.428,1.566,1.566,1.566,0.844
