Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.600,29.300,16.722,16.858,32.965,33.919,41.925,50.254,50.254,50.254,0.034
5,2.000,28.327,17.445,17.584,25.859,35.097,57.731,57.731,57.731,57.731,0.035
10,1.600,30.507,16.866,31.917,33.660,34.503,41.566,41.566,41.566,41.566,0.033
15,2.600,26.457,16.990,25.338,25.418,30.208,33.855,41.816,41.816,41.816,0.038
20,3.400,24.495,16.821,22.433,25.208,25.478,30.651,42.219,42.219,42.219,0.041
25,1.400,24.898,14.990,16.872,25.349,25.846,42.046,42.046,42.046,42.046,0.040
30,4.000,29.758,16.126,23.123,29.560,33.711,42.147,75.357,75.357,75.357,0.034
35,2.800,25.990,16.285,16.548,25.439,30.947,33.516,42.569,42.569,42.569,0.038
40,3.000,25.410,16.839,17.472,25.373,31.499,35.235,42.097,42.097,42.097,0.039
45,2.000,25.611,16.771,25.141,25.307,25.453,41.926,41.926,41.926,41.926,0.039
50,3.200,26.814,16.797,22.527,25.341,33.567,41.706,42.163,42.163,42.163,0.037
55,2.800,26.397,16.761,24.828,25.263,33.455,33.750,42.003,42.003,42.003,0.038
