Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,34.000,18.711,6.556,16.069,16.704,17.065,33.502,41.727,58.580,68.499,0.053
5,30.600,19.861,8.024,16.561,16.685,16.808,25.678,41.552,58.493,280.331,0.050
10,33.000,16.869,4.192,8.437,16.636,16.780,33.366,33.884,48.441,50.280,0.059
15,32.200,19.176,7.676,16.436,16.678,16.903,33.562,41.786,60.950,65.321,0.052
20,33.200,18.627,6.903,16.508,16.709,16.844,33.346,41.910,58.296,83.786,0.054
25,34.400,17.640,2.525,15.843,16.660,16.785,32.529,33.586,50.220,60.269,0.057
30,32.000,16.996,3.174,15.079,16.659,16.845,25.112,33.880,45.350,45.410,0.059
35,30.000,21.288,3.909,16.586,16.710,17.104,33.584,41.812,120.547,150.550,0.047
40,31.800,19.917,2.294,14.861,16.668,16.845,33.592,44.127,102.261,104.189,0.050
45,26.600,23.260,6.694,16.495,16.697,16.836,33.493,55.572,177.989,328.544,0.043
50,24.000,23.654,8.168,16.566,16.712,16.860,36.829,91.749,137.523,169.468,0.042
55,31.400,18.938,3.892,8.396,16.666,16.818,33.395,41.627,101.820,166.753,0.053
