Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,330.000,3.021,0.152,0.392,0.579,1.571,7.861,8.707,33.322,237.833,0.331
5,380.000,2.716,0.136,0.292,0.450,0.685,7.237,8.362,37.570,293.950,0.368
10,465.600,2.061,0.127,0.273,0.427,0.636,6.950,8.303,33.398,118.705,0.485
15,573.800,1.743,0.117,0.225,0.364,0.564,5.817,7.896,27.883,233.920,0.574
20,623.600,1.593,0.114,0.226,0.360,0.535,4.612,7.812,28.335,154.844,0.628
25,673.600,1.484,0.122,0.222,0.344,0.504,3.360,7.240,25.090,302.032,0.674
30,743.600,1.334,0.117,0.206,0.308,0.453,1.234,7.103,21.090,274.858,0.750
35,784.200,1.271,0.123,0.199,0.311,0.475,1.368,6.818,11.796,116.390,0.787
40,832.400,1.211,0.112,0.199,0.323,0.472,1.044,6.845,12.424,99.464,0.826
45,800.000,1.229,0.122,0.199,0.314,0.478,1.180,7.213,12.264,70.711,0.814
50,828.000,1.201,0.121,0.222,0.338,0.489,0.869,6.288,17.864,95.009,0.832
55,607.800,1.639,0.123,0.290,0.363,0.504,0.879,7.035,31.678,276.432,0.610
