Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,55.600,1.073,0.163,0.409,0.685,1.261,2.552,3.155,6.330,13.536,0.932
5,68.800,0.719,0.132,0.242,0.424,0.804,1.813,2.286,3.779,4.408,1.391
10,71.400,0.728,0.138,0.267,0.425,0.702,1.653,2.580,3.925,7.163,1.374
15,80.000,0.717,0.124,0.310,0.442,0.723,1.528,2.766,3.782,5.341,1.395
20,84.800,0.686,0.127,0.299,0.396,0.667,1.685,2.388,3.588,6.597,1.457
25,92.200,0.646,0.127,0.269,0.404,0.652,1.555,2.270,3.580,4.485,1.547
30,85.400,0.603,0.124,0.294,0.382,0.581,1.324,1.980,3.509,5.598,1.659
35,96.000,0.557,0.120,0.281,0.383,0.559,1.081,1.640,3.105,9.022,1.797
40,117.000,0.565,0.124,0.285,0.367,0.567,1.196,1.859,3.039,3.933,1.769
45,100.200,0.567,0.121,0.296,0.372,0.559,1.171,1.707,3.297,4.917,1.764
50,113.800,0.528,0.122,0.287,0.371,0.541,1.017,1.634,2.548,4.959,1.893
55,125.600,0.482,0.121,0.255,0.334,0.486,0.905,1.384,2.882,5.497,2.075
