Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,145.800,0.445,0.151,0.291,0.425,0.562,0.691,0.791,0.998,1.457,2.248
5,166.000,0.339,0.119,0.212,0.334,0.438,0.533,0.582,0.669,0.716,2.950
10,221.000,0.335,0.112,0.228,0.336,0.419,0.514,0.553,0.639,0.839,2.985
15,216.800,0.339,0.114,0.221,0.334,0.427,0.523,0.574,0.677,1.237,2.952
20,267.800,0.309,0.111,0.204,0.300,0.386,0.488,0.535,0.622,1.919,3.232
25,295.400,0.293,0.107,0.191,0.267,0.363,0.455,0.512,0.602,3.259,3.411
30,276.400,0.296,0.110,0.187,0.264,0.378,0.486,0.537,0.673,2.147,3.373
35,259.800,0.290,0.109,0.190,0.280,0.355,0.457,0.508,0.605,0.904,3.448
40,340.400,0.276,0.109,0.173,0.264,0.342,0.447,0.500,0.571,0.759,3.620
45,349.400,0.271,0.111,0.161,0.238,0.354,0.454,0.505,0.606,0.792,3.690
50,375.800,0.284,0.109,0.186,0.280,0.352,0.432,0.488,0.567,1.099,3.523
55,393.800,0.283,0.109,0.184,0.270,0.349,0.448,0.506,0.605,2.505,3.528
