Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,238,238.000,276,546,872,4208,7188,11960,16640,34310,45676
1,199,199.000,185,409,583,4995,6412,14197,16270,41244,220694
2,329,329.000,165,377,545,3024,994,8737,15584,30503,48178
3,396,396.000,151,276,438,2517,668,7907,14758,40151,64313
4,298,298.000,177,318,465,3342,885,11758,16199,33784,63816
5,345,345.000,149,240,387,2905,767,8514,15554,37661,69217
6,154,154.000,147,237,403,6506,657,8523,15816,289215,308365
7,387,387.000,134,247,429,2568,717,8252,14981,38097,56794
8,406,406.000,144,341,451,2467,686,8230,13917,16971,64338
9,378,378.000,119,294,430,2608,636,7457,15080,32905,67069
10,444,444.000,144,247,370,2257,573,7838,12248,30616,57808
11,410,410.000,147,341,431,2422,685,7668,13546,31896,55859
12,500,500.000,138,276,359,2003,563,7191,12091,25367,58415
13,443,443.000,112,277,411,2242,574,7601,10939,33590,41430
14,381,381.000,130,257,388,2602,613,7668,14667,39349,98143
15,370,370.000,130,363,455,2702,668,7039,14249,61321,98626
16,409,409.000,164,320,405,2424,584,7885,12768,32180,66676
17,522,522.000,114,203,334,1915,536,6632,10473,28066,61147
18,455,455.000,117,232,366,2182,575,7257,14181,29096,55306
19,447,447.000,125,242,401,2230,589,7656,13443,27597,87617
20,538,538.000,146,266,366,1867,535,6205,9196,28854,68903
21,477,477.000,111,244,362,2088,547,7104,10796,41212,77518
22,473,473.000,118,195,307,2100,518,7348,11356,31667,89071
23,526,526.000,124,267,360,1894,552,6694,9850,30380,42069
24,619,619.000,137,245,332,1605,514,5443,10172,22910,32697
25,560,560.000,129,247,376,1799,576,5181,8613,37662,63819
26,734,734.000,128,206,319,1342,449,1453,8032,19371,35298
27,519,519.000,107,209,311,1940,477,4117,8578,33106,91924
28,558,558.000,133,225,335,1779,477,5120,10766,31697,57966
29,562,562.000,125,223,331,1763,467,3540,8350,35596,81229
30,716,716.000,112,207,304,1399,476,2664,8306,16281,49753
31,504,504.000,134,235,375,1984,552,5098,10968,31256,92677
32,283,283.000,110,192,319,3505,506,1147,7597,148328,271175
33,667,667.000,122,209,325,1489,494,3967,7929,16725,52758
34,595,595.000,119,218,297,1695,460,5986,10091,31286,46772
35,585,585.000,113,234,323,1684,479,3100,9058,29807,81481
36,562,562.000,128,243,343,1780,482,4266,8562,27652,126966
37,654,654.000,109,199,307,1587,413,1093,7972,23286,211921
38,68,68.000,167,397,490,14169,575,773,1456,392497,392497
39,692,692.000,109,202,307,1426,462,2038,9754,16104,57596
40,722,722.000,118,262,348,1379,512,846,7893,22573,58413
41,580,580.000,126,277,367,1717,510,3946,9245,28808,47517
42,818,818.000,122,191,296,1217,416,1025,7287,16345,41196
43,721,721.000,122,211,287,1955,447,1589,8088,16820,427596
44,538,538.000,109,155,234,1099,316,719,7524,15012,56961
45,550,550.000,126,222,360,1820,505,4376,11520,32909,66183
46,765,765.000,116,166,261,1298,422,712,7595,18069,87877
47,585,585.000,126,284,387,1710,550,4573,10034,28561,50792
48,803,803.000,125,228,301,1231,444,860,7365,16099,66797
49,906,906.000,111,159,211,1098,341,646,6612,16364,82755
50,758,758.000,110,187,311,1321,439,781,7109,16701,86447
51,718,718.000,111,185,297,1381,414,849,7949,25917,49795
52,587,587.000,130,275,347,1691,504,2054,8377,37729,72663
53,848,848.000,121,224,315,1177,431,738,6670,18952,47369
54,847,847.000,109,203,286,1198,406,846,7324,16355,45548
55,802,802.000,124,245,338,1217,483,844,7122,15182,52120
56,859,859.000,116,194,305,1164,404,649,6927,15865,75298
57,613,613.000,109,240,330,1618,488,4238,10643,16752,48203
58,1007,1007.000,122,182,251,985,388,669,6590,14509,40199
59,626,626.000,123,237,341,1583,491,1169,8048,24755,105969
