Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,292.000,3.414,0.151,0.355,0.530,1.925,8.648,15.894,37.977,220.694,0.293
5,334.000,2.986,0.119,0.281,0.422,0.676,8.284,15.080,37.661,308.365,0.335
10,435.600,2.288,0.112,0.278,0.390,0.596,7.668,12.627,31.042,98.143,0.437
15,440.600,2.261,0.114,0.267,0.391,0.587,7.120,12.918,29.662,98.626,0.442
20,526.600,1.893,0.111,0.244,0.351,0.535,6.508,10.035,25.895,89.071,0.528
25,586.600,1.699,0.107,0.225,0.330,0.490,3.883,8.506,27.977,91.924,0.588
30,553.000,1.807,0.110,0.210,0.320,0.498,3.489,8.440,25.026,271.175,0.553
35,512.200,1.943,0.109,0.217,0.321,0.469,1.880,8.595,25.072,392.497,0.515
40,675.800,1.476,0.109,0.210,0.307,0.452,1.204,7.912,21.067,427.596,0.677
45,721.800,1.380,0.111,0.186,0.296,0.456,0.955,7.978,16.949,87.877,0.725
50,751.600,1.331,0.109,0.207,0.312,0.435,0.827,7.680,19.798,86.447,0.752
55,781.400,1.268,0.109,0.203,0.314,0.448,0.822,7.663,16.422,105.969,0.789
