Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.600,29.154,16.881,25.009,25.175,33.500,41.920,51.919,51.919,51.919,0.034
5,3.600,26.222,16.638,17.458,25.054,33.313,42.043,44.726,44.726,44.726,0.038
10,2.000,31.939,15.927,16.784,17.261,33.735,110.255,110.255,110.255,110.255,0.031
15,2.400,25.993,16.719,24.964,25.167,33.265,33.461,41.751,41.751,41.751,0.038
20,3.000,26.739,16.529,16.924,25.096,25.138,41.722,58.431,58.431,58.431,0.037
25,2.000,32.663,16.692,16.750,25.144,33.365,75.658,75.658,75.658,75.658,0.031
30,2.400,26.111,16.629,25.047,25.144,25.572,36.922,41.631,41.631,41.631,0.038
35,3.200,22.344,16.678,16.812,24.944,25.106,25.174,33.496,33.496,33.496,0.045
40,2.600,29.576,15.086,25.016,25.077,25.122,33.449,89.330,89.330,89.330,0.034
45,2.200,31.811,16.717,24.972,25.118,41.872,49.980,66.893,66.893,66.893,0.031
50,2.800,23.992,16.622,16.922,24.951,25.096,32.447,41.966,41.966,41.966,0.042
55,2.400,22.978,15.589,16.970,25.032,25.214,25.288,34.028,34.028,34.028,0.044
