Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,20.800,9.251,3.381,6.290,7.600,8.337,8.782,11.636,65.012,82.510,0.108
5,22.400,10.063,3.391,6.394,7.430,8.369,10.970,32.892,64.099,79.845,0.099
10,23.200,12.630,3.624,6.000,7.538,9.279,26.070,57.711,93.724,114.553,0.079
15,27.800,12.533,3.260,5.350,7.146,8.340,11.347,31.906,186.454,336.735,0.080
20,25.800,13.040,3.254,5.803,7.402,8.404,12.132,30.548,209.159,304.775,0.077
25,33.000,11.733,3.454,6.231,7.668,9.763,12.055,33.377,127.111,234.675,0.085
30,29.000,11.454,3.549,5.950,7.467,9.275,23.964,33.446,72.891,151.745,0.087
35,41.600,9.766,3.411,5.879,7.487,9.938,18.364,29.818,43.009,48.986,0.102
40,40.600,9.935,3.245,5.693,7.459,9.382,21.262,29.869,55.416,64.063,0.101
45,40.600,11.616,3.258,5.963,7.711,10.182,28.904,34.528,56.438,97.899,0.086
50,39.800,10.049,3.230,6.030,7.398,10.165,22.220,31.376,40.538,48.483,0.100
55,43.200,10.478,3.194,5.725,7.472,10.309,24.467,31.888,54.656,68.959,0.095
