Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.200,2.157,1.225,1.296,1.923,2.482,2.709,5.039,5.039,5.039,0.464
5,3.800,1.051,0.579,0.727,0.903,1.381,1.626,1.647,1.647,1.647,0.952
10,2.200,1.240,0.880,0.921,1.266,1.531,1.555,1.611,1.611,1.611,0.806
15,2.800,1.284,0.737,0.877,1.026,1.123,1.406,4.802,4.802,4.802,0.779
20,3.000,1.083,0.555,0.753,1.047,1.401,1.547,1.984,1.984,1.984,0.924
25,3.400,1.137,0.494,0.930,1.270,1.386,1.408,1.574,1.574,1.574,0.879
30,2.400,1.027,0.573,0.744,1.249,1.359,1.391,1.421,1.421,1.421,0.974
35,3.000,1.034,0.678,0.789,0.961,1.263,1.437,1.626,1.626,1.626,0.967
40,3.200,0.945,0.491,0.727,0.893,1.325,1.451,1.533,1.533,1.533,1.058
45,2.400,1.201,0.782,1.165,1.281,1.307,1.408,1.557,1.557,1.557,0.833
50,2.600,1.146,0.594,0.811,1.228,1.368,1.421,2.004,2.004,2.004,0.873
55,1.800,1.198,1.017,1.121,1.171,1.256,1.376,1.376,1.376,1.376,0.835
