Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.600,11.846,4.061,7.158,8.501,15.431,16.943,30.503,40.908,40.908,0.084
5,16.800,13.504,3.417,7.467,8.494,15.148,16.889,37.661,78.842,78.842,0.074
10,20.200,13.553,3.587,6.647,8.051,15.187,28.805,41.044,61.713,98.143,0.074
15,21.600,12.884,3.835,6.808,8.586,14.790,18.688,32.684,66.944,98.626,0.078
20,27.400,13.040,3.179,7.232,8.450,14.988,23.453,33.364,68.903,89.071,0.077
25,26.200,14.227,3.121,6.762,8.419,14.689,32.916,49.332,86.263,91.924,0.070
30,26.000,17.984,4.212,7.147,9.638,14.631,32.452,43.418,261.570,271.175,0.056
35,27.200,16.111,3.629,6.630,9.058,14.602,22.395,32.493,211.921,392.497,0.062
40,29.800,16.244,3.725,7.297,10.311,15.399,32.416,40.773,56.961,427.596,0.062
45,34.000,13.827,3.392,7.372,10.329,15.092,31.066,40.241,66.797,87.877,0.072
50,37.800,11.993,2.931,6.599,8.419,14.689,23.100,31.808,49.795,55.641,0.083
55,41.200,13.429,3.371,6.637,9.173,14.559,31.866,38.619,64.080,105.969,0.074
