Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,33.400,10.269,6.170,8.271,8.327,8.393,12.120,31.499,38.210,41.066,0.097
5,29.000,11.228,5.368,8.254,8.321,8.372,14.267,25.382,55.872,116.717,0.089
10,36.400,10.330,5.294,8.274,8.322,8.376,12.551,33.232,41.719,42.217,0.097
15,30.400,10.354,5.458,8.277,8.323,8.380,10.099,31.790,33.492,50.020,0.097
20,33.200,9.735,5.109,8.240,8.308,8.370,8.701,24.850,50.086,50.195,0.103
25,27.400,13.397,5.216,8.258,8.317,8.374,26.256,41.810,83.607,207.192,0.075
30,32.000,12.463,5.441,8.243,8.317,8.371,14.785,33.405,108.407,208.527,0.080
35,28.800,10.622,6.457,8.240,8.305,8.374,8.863,24.938,66.686,66.772,0.094
40,29.600,10.720,5.251,8.259,8.318,8.390,14.694,33.249,50.115,66.618,0.093
45,29.200,10.409,5.644,8.252,8.313,8.393,14.521,32.690,42.679,50.223,0.096
50,27.800,12.510,5.253,8.274,8.321,8.374,24.981,45.248,108.414,108.442,0.080
55,37.000,9.520,5.775,8.257,8.309,8.380,8.900,15.819,41.889,49.899,0.105
