Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,34.800,7.409,0.214,0.622,5.812,8.298,11.575,30.585,45.345,177.712,0.135
5,37.200,7.301,0.185,0.343,0.641,7.480,10.713,32.474,105.840,211.945,0.137
10,49.200,4.165,0.167,0.314,0.523,5.383,8.291,11.189,60.350,118.705,0.240
15,63.400,2.416,0.149,0.252,0.419,0.617,7.360,8.383,28.503,68.908,0.414
20,59.000,1.636,0.149,0.256,0.418,0.582,6.310,8.347,11.455,30.164,0.611
25,62.800,1.664,0.145,0.245,0.398,0.561,6.729,8.339,14.028,27.577,0.601
30,83.200,2.035,0.141,0.234,0.317,0.527,6.159,8.231,32.953,77.486,0.491
35,80.400,1.736,0.153,0.221,0.327,0.504,4.292,7.111,32.177,98.418,0.576
40,83.000,1.293,0.145,0.223,0.355,0.497,3.772,7.308,11.610,49.008,0.773
45,79.200,1.580,0.151,0.228,0.354,0.522,5.164,7.829,35.724,47.407,0.633
50,78.800,1.380,0.147,0.240,0.386,0.516,0.666,7.819,39.181,61.832,0.725
55,63.600,1.342,0.155,0.318,0.402,0.520,0.638,7.474,20.439,72.470,0.745
