Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.800,5.730,4.033,4.627,6.409,7.849,7.849,7.849,7.849,7.849,0.175
5,0.800,2.998,2.681,3.048,3.085,3.177,3.177,3.177,3.177,3.177,0.334
10,1.200,2.009,1.064,1.094,2.491,2.496,2.809,2.809,2.809,2.809,0.498
15,0.600,2.054,1.789,1.789,2.121,2.251,2.251,2.251,2.251,2.251,0.487
20,0.400,2.095,1.897,1.897,2.292,2.292,2.292,2.292,2.292,2.292,0.477
25,0.400,1.968,1.768,1.768,2.168,2.168,2.168,2.168,2.168,2.168,0.508
30,0.600,2.059,1.447,1.447,2.141,2.589,2.589,2.589,2.589,2.589,0.486
35,0.200,1.646,1.646,1.646,1.646,1.646,1.646,1.646,1.646,1.646,0.608
40,0.400,1.535,1.459,1.459,1.611,1.611,1.611,1.611,1.611,1.611,0.651
45,0.400,1.622,1.590,1.590,1.654,1.654,1.654,1.654,1.654,1.654,0.617
50,0.400,1.825,1.566,1.566,2.083,2.083,2.083,2.083,2.083,2.083,0.548
55,0.200,2.297,2.297,2.297,2.297,2.297,2.297,2.297,2.297,2.297,0.435
