Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,45.800,1.196,0.198,0.504,0.681,1.246,2.760,3.921,5.755,14.174,0.836
5,56.800,0.936,0.148,0.350,0.558,1.048,2.446,3.328,4.864,5.483,1.068
10,64.200,0.833,0.151,0.344,0.511,0.826,2.063,2.907,4.058,7.827,1.201
15,88.400,0.674,0.137,0.274,0.426,0.761,1.477,2.188,3.345,5.204,1.484
20,99.800,0.655,0.129,0.244,0.399,0.651,1.542,2.382,3.655,4.035,1.526
25,106.000,0.550,0.125,0.242,0.364,0.533,1.150,1.637,3.419,4.775,1.819
30,107.600,0.490,0.131,0.219,0.325,0.523,1.060,1.453,2.397,5.468,2.039
35,126.200,0.515,0.136,0.213,0.345,0.546,1.088,1.686,2.900,4.103,1.941
40,127.800,0.461,0.122,0.207,0.330,0.499,0.828,1.352,2.575,5.052,2.171
45,125.600,0.506,0.128,0.210,0.332,0.540,0.993,1.400,2.402,12.379,1.977
50,133.600,0.498,0.125,0.227,0.360,0.524,0.967,1.549,2.442,4.165,2.007
55,87.200,0.518,0.126,0.300,0.376,0.520,0.900,1.446,3.014,5.371,1.930
