Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.400,2.412,1.605,2.014,2.400,2.930,3.072,3.422,3.422,3.422,0.415
5,2.200,1.924,1.474,1.647,2.009,2.114,2.271,2.407,2.407,2.407,0.520
10,3.000,2.243,1.169,1.703,2.437,2.524,2.823,3.697,3.697,3.697,0.446
15,1.800,2.042,1.498,1.772,2.012,2.321,2.491,2.491,2.491,2.491,0.490
20,2.400,2.203,1.325,1.836,2.433,2.572,2.593,2.754,2.754,2.754,0.454
25,3.800,2.081,1.203,1.419,2.195,2.369,2.690,3.618,3.618,3.618,0.481
30,2.200,2.191,1.290,1.647,2.279,2.724,2.831,3.040,3.040,3.040,0.456
35,3.000,1.950,1.133,1.630,1.920,2.355,2.407,2.711,2.711,2.711,0.513
40,2.200,2.241,1.173,1.623,2.277,2.706,2.939,3.082,3.082,3.082,0.446
45,1.800,1.823,1.182,1.387,1.648,2.430,2.492,2.492,2.492,2.492,0.549
50,1.400,2.047,1.438,1.662,1.892,2.731,2.822,2.822,2.822,2.822,0.488
55,2.000,2.411,1.296,1.958,2.730,2.862,3.123,3.123,3.123,3.123,0.415
