Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,34.200,6.500,0.286,0.808,5.195,7.716,11.330,26.123,50.133,79.888,0.154
5,49.200,4.916,0.245,0.374,0.790,7.476,8.365,16.873,66.245,82.518,0.203
10,51.400,3.096,0.226,0.438,0.623,1.082,8.028,11.136,31.730,71.119,0.323
15,50.600,2.926,0.220,0.484,0.681,1.082,7.604,8.367,29.918,108.299,0.342
20,53.800,2.702,0.227,0.507,0.619,1.002,7.281,8.406,25.249,107.105,0.370
25,63.800,2.490,0.222,0.455,0.610,0.881,7.215,8.442,34.256,91.324,0.402
30,49.600,3.443,0.216,0.518,0.634,0.904,6.438,7.946,53.721,266.354,0.290
35,73.400,2.325,0.215,0.444,0.579,0.828,5.835,7.996,33.448,166.181,0.430
40,73.000,1.691,0.221,0.446,0.569,0.700,1.061,7.417,21.636,96.392,0.592
45,73.600,2.064,0.225,0.511,0.626,0.803,3.023,7.192,18.299,151.477,0.485
50,76.800,1.325,0.213,0.437,0.588,0.728,1.147,6.344,13.244,44.455,0.755
55,76.000,1.775,0.214,0.407,0.575,0.806,5.019,8.236,30.655,48.453,0.563
