Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.400,30.386,16.644,25.107,33.395,33.535,42.085,50.523,50.523,50.523,0.033
5,1.800,25.198,16.774,16.941,25.069,33.558,41.918,41.918,41.918,41.918,0.040
10,3.200,29.045,15.840,16.782,25.212,41.813,50.033,75.106,75.106,75.106,0.034
15,3.400,29.618,16.468,16.813,25.053,33.507,58.544,60.548,60.548,60.548,0.034
20,1.800,26.939,16.667,16.867,25.089,25.146,50.018,50.018,50.018,50.018,0.037
25,2.000,21.747,16.541,16.772,24.979,25.110,25.346,25.346,25.346,25.346,0.046
30,2.200,33.984,16.602,16.811,25.085,50.187,50.244,75.609,75.609,75.609,0.029
35,1.800,26.997,16.583,25.053,25.259,33.363,41.734,41.734,41.734,41.734,0.037
40,2.000,35.037,16.040,25.051,25.192,34.171,90.545,90.545,90.545,90.545,0.029
45,3.200,30.288,15.617,24.847,25.062,25.188,41.090,126.602,126.602,126.602,0.033
50,3.200,28.536,16.645,16.781,24.960,33.437,50.138,83.338,83.338,83.338,0.035
55,3.400,30.738,15.876,25.000,25.775,33.490,56.059,58.542,58.542,58.542,0.033
