Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,39.000,5.883,0.175,0.478,5.390,7.855,10.166,11.865,64.055,70.819,0.170
5,54.400,3.848,0.156,0.361,0.482,6.469,8.375,10.937,32.258,73.190,0.260
10,48.400,3.332,0.140,0.364,0.465,4.591,7.822,9.160,49.504,104.346,0.300
15,52.600,3.855,0.142,0.242,0.359,0.520,7.380,8.512,48.911,358.215,0.259
20,55.400,2.502,0.151,0.288,0.371,0.483,7.510,10.052,32.956,60.712,0.400
25,67.400,1.748,0.127,0.239,0.374,0.483,6.602,8.366,24.981,32.993,0.572
30,69.200,2.822,0.147,0.241,0.368,0.511,7.654,8.915,31.136,220.872,0.354
35,91.200,0.919,0.124,0.203,0.306,0.404,0.592,6.348,9.538,30.681,1.088
40,79.400,1.317,0.123,0.205,0.300,0.409,3.438,7.204,15.138,72.569,0.759
45,83.400,1.235,0.130,0.222,0.342,0.410,4.421,7.365,11.509,48.692,0.810
50,91.600,1.115,0.125,0.204,0.296,0.403,0.561,7.497,14.059,32.055,0.897
55,84.800,1.510,0.125,0.211,0.357,0.432,0.611,7.844,28.339,83.733,0.662
