Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,14,14.000,50227,58406,66471,72636,90585,108612,113469,113469,113469
1,14,14.000,6409,49614,75607,73516,95489,102417,183873,183873,183873
2,16,16.000,3051,58283,65125,60353,85698,102309,108359,108359,108359
3,14,14.000,4627,50200,64826,72494,91583,109660,158606,158606,158606
4,11,11.000,53301,63773,86749,89266,108378,121836,151423,151423,151423
5,18,18.000,3048,55370,58508,55349,66724,90604,93077,93077,93077
6,15,15.000,2681,46027,68776,68428,98222,105296,105557,105557,105557
7,15,15.000,3085,58133,59144,64677,81373,83599,102088,102088,102088
8,13,13.000,58203,58638,83398,79565,91542,99995,100025,100025,100025
9,7,7.000,50207,52444,106150,139501,122281,441232,441232,441232,441232
10,15,15.000,1094,58302,66871,67874,83527,92251,116159,116159,116159
11,17,17.000,2491,53672,66317,62964,84185,97820,116043,116043,116043
12,15,15.000,1064,52968,66690,65688,86152,100211,117408,117408,117408
13,15,15.000,1842,43755,68515,67872,91944,122350,126566,126566,126566
14,14,14.000,2378,47137,88770,76951,93320,96843,212800,212800,212800
15,14,14.000,48518,58337,58376,63027,74989,75179,83356,83356,83356
16,12,12.000,48271,56360,83326,79309,100050,122575,128949,128949,128949
17,16,16.000,2953,49892,52656,63062,84918,116788,122480,122480,122480
18,16,16.000,2251,58251,58467,63055,83488,100131,108527,108527,108527
19,14,14.000,1789,49342,81178,68394,92236,98726,133652,133652,133652
20,13,13.000,1897,58361,74242,78599,94542,134542,140856,140856,140856
21,13,13.000,58338,58528,83399,80888,91657,108473,111638,111638,111638
22,15,15.000,3677,53136,58445,63188,83618,97489,101366,101366,101366
23,11,11.000,49057,60447,97929,90627,117063,124912,130094,130094,130094
24,17,17.000,2292,56423,58900,60154,80891,93219,101782,101782,101782
25,12,12.000,58228,58364,58875,82722,91231,141088,200934,200934,200934
26,13,13.000,41685,50032,74260,77287,91745,133820,150803,150803,150803
27,16,16.000,1768,49991,74856,60723,83369,88170,98144,98144,98144
28,15,15.000,2168,48410,58473,68385,83386,100090,160102,160102,160102
29,11,11.000,52141,56280,89565,88607,116829,124116,141493,141493,141493
30,12,12.000,1447,66173,89828,88191,104460,144301,206999,206999,206999
31,15,15.000,3443,58268,58427,68501,83532,116702,124895,124895,124895
32,14,14.000,2589,57826,58420,64367,83793,100229,103534,103534,103534
33,15,15.000,2141,49948,58898,69022,91839,108684,142302,142302,142302
34,13,13.000,50080,58274,75068,74383,90830,100206,107623,107623,107623
35,10,10.000,52700,64630,97380,113394,125132,242547,242547,242547,242547
36,14,14.000,1646,57411,69553,65594,83381,96161,123013,123013,123013
37,16,16.000,2592,49950,50541,60369,88454,98773,117264,117264,117264
38,13,13.000,33307,50046,83125,75033,91751,92197,125227,125227,125227
39,13,13.000,50006,58371,83354,77649,99980,100375,108441,108441,108441
40,12,12.000,56704,66558,66835,83948,83575,101645,215442,215442,215442
41,11,11.000,44966,58258,77119,93335,105176,125135,282420,282420,282420
42,17,17.000,1459,41804,58495,58514,85407,100049,108406,108406,108406
43,14,14.000,45225,50461,64944,70768,93964,99708,108292,108292,108292
44,12,12.000,52599,58592,89278,82782,105458,122465,133058,133058,133058
45,13,13.000,41925,58394,83347,77001,93108,100657,110653,110653,110653
46,14,14.000,3163,50207,67026,78133,121693,125007,126640,126640,126640
47,14,14.000,1590,50092,70239,70233,91737,122210,125096,125096,125096
48,15,15.000,2624,45566,57416,60306,87177,90357,92163,92163,92163
49,16,16.000,1654,42059,58656,65424,96316,108350,203835,203835,203835
50,13,13.000,4821,50606,82087,75673,92320,117590,150288,150288,150288
51,5,5.000,2083,58276,139756,196696,259050,524319,524319,524319,524319
52,3,3.000,249992,249992,325136,383650,575823,575823,575823,575823,575823
53,9,9.000,2544,61388,83396,94208,122469,196851,196851,196851,196851
54,14,14.000,1566,56982,58606,71687,94392,116764,149988,149988,149988
55,13,13.000,58295,58400,66784,75039,83317,108413,116609,116609,116609
56,13,13.000,38698,48738,60076,77072,92978,124533,169897,169897,169897
57,13,13.000,3191,50390,97820,87965,108360,133166,181740,181740,181740
58,14,14.000,3073,42222,50001,61830,81936,131703,158625,158625,158625
59,11,11.000,2297,58286,66834,84903,108283,120983,225657,225657,225657
