Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.800,2.361,1.175,1.990,2.406,2.996,3.119,3.170,3.170,3.170,0.424
5,1.600,2.660,1.486,1.701,2.601,4.028,4.376,4.376,4.376,4.376,0.376
10,2.000,2.206,1.380,1.771,2.329,2.701,2.824,2.824,2.824,2.824,0.453
15,3.200,2.368,1.350,2.014,2.501,2.625,2.626,4.797,4.797,4.797,0.422
20,2.000,2.091,1.424,1.625,2.049,2.577,2.887,2.887,2.887,2.887,0.478
25,2.800,2.176,1.346,1.596,2.483,2.536,2.758,2.796,2.796,2.796,0.460
30,3.400,2.166,1.312,1.498,2.436,2.547,2.787,3.751,3.751,3.751,0.462
35,3.200,2.193,1.185,1.799,2.415,2.587,2.794,3.602,3.602,3.602,0.456
40,2.400,2.342,1.275,1.888,2.555,2.880,3.153,3.399,3.399,3.399,0.427
45,3.600,2.422,1.380,2.229,2.610,2.805,2.912,2.933,2.933,2.933,0.413
50,2.400,2.323,1.325,1.818,2.364,2.805,3.011,4.199,4.199,4.199,0.430
55,3.400,2.590,1.305,2.408,2.564,2.903,3.144,4.246,4.246,4.246,0.386
