Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,67,67.000,1786,8400,8958,15152,17087,33536,34995,53479,53479
1,46,46.000,1731,8350,14123,21868,17217,41882,91922,141796,141796
2,70,70.000,1083,8320,8448,13969,16764,32701,41827,49969,49969
3,67,67.000,1230,8268,8545,14861,16805,33544,33613,67335,67335
4,75,75.000,1127,8306,8450,13289,16750,25676,33581,50140,50140
5,73,73.000,1138,8309,8404,13836,16704,25014,37496,99202,99202
6,66,66.000,1487,8248,8448,15345,17099,33437,34706,108243,108243
7,60,60.000,664,8315,8405,16705,16782,33546,75102,107070,107070
8,61,61.000,789,8326,8535,15936,17363,33376,42163,50263,50263
9,64,64.000,703,8300,16667,15722,16791,33256,33306,75004,75004
10,65,65.000,1243,8345,8573,15582,16831,30234,33404,95543,95543
11,53,53.000,1026,8336,16601,19201,16807,33290,59370,170692,170692
12,54,54.000,826,8341,16635,17738,19757,36411,50165,50428,50428
13,72,72.000,682,8241,8490,13992,16734,25106,33457,84384,84384
14,71,71.000,772,8265,8426,14110,16741,25433,33706,87029,87029
15,60,60.000,1340,8302,8564,16643,16790,41654,43714,66743,66743
16,73,73.000,1099,8300,8410,13850,16722,17072,33384,108630,108630
17,53,53.000,546,8340,14516,18547,22351,33759,50105,97662,97662
18,66,66.000,610,8274,8419,15090,16768,33175,33546,66729,66729
19,74,74.000,619,8226,8420,13801,16705,25289,33538,110232,110232
20,69,69.000,540,8312,8375,14127,16712,33168,35060,58687,58687
21,75,75.000,646,8262,8391,13316,16730,25175,33365,70560,70560
22,44,44.000,1724,8307,11851,22856,33284,58592,66700,110633,110633
23,61,61.000,681,8321,8417,16681,16679,24626,33595,223429,223429
24,79,79.000,1255,8312,8387,12560,16648,25013,33364,57153,57153
25,86,86.000,530,8237,8379,12191,15286,16805,23556,134187,134187
26,75,75.000,732,8291,8361,12767,16477,27882,33483,59437,59437
27,66,66.000,574,8257,8410,14939,16750,33896,49988,66881,66881
28,77,77.000,497,8278,8444,12989,16677,23566,33368,66978,66978
29,63,63.000,1326,8290,8411,15767,16735,41779,54572,65809,65809
30,53,53.000,2006,8374,16677,18733,16806,33819,50026,83313,83313
31,73,73.000,711,8290,8405,13797,16733,25142,33397,96833,96833
32,63,63.000,1219,8280,8420,15935,16735,24998,41890,152349,152349
33,73,73.000,1292,8304,8376,13502,16669,25075,38702,66992,66992
34,63,63.000,1389,8321,16572,15990,16749,33369,33528,81255,81255
35,72,72.000,924,8304,8444,14006,16743,25501,33637,58576,58576
36,72,72.000,527,8294,8376,14003,16685,33328,49872,66674,66674
37,70,70.000,491,8274,8378,14356,16742,33969,39001,43165,43165
38,76,76.000,780,8243,8363,12992,16691,24892,38233,72635,72635
39,61,61.000,611,8279,14118,16101,16778,25315,33490,100136,100136
40,80,80.000,1248,8295,8348,12622,16628,24959,39661,52317,52317
41,85,85.000,655,8267,8367,11778,16589,24930,33388,51900,51900
42,57,57.000,602,8282,8421,17568,16722,32484,66480,187483,187483
43,70,70.000,862,8310,8365,14070,16729,33314,41743,47701,47701
44,59,59.000,1712,8333,16643,17237,24825,33384,41676,42138,42138
45,71,71.000,725,8311,8370,13747,16706,25713,33830,67213,67213
46,85,85.000,623,8290,8353,11736,15079,25027,33365,49990,49990
47,66,66.000,1418,8286,8398,15096,16699,29518,37482,99923,99923
48,64,64.000,1218,8290,8430,15908,16924,33361,50087,69872,69872
49,75,75.000,806,8284,8357,13719,16747,33344,33994,54990,54990
50,73,73.000,1033,8310,8383,13070,16674,24981,33284,59276,59276
51,75,75.000,793,8284,8409,13573,16672,25221,37907,67395,67395
52,84,84.000,733,8230,8345,11659,14089,16957,33382,69343,69343
53,71,71.000,1319,8250,8347,14360,16739,29512,33521,80935,80935
54,70,70.000,700,8221,8401,13917,16689,33403,33632,68260,68260
55,77,77.000,1456,8233,8385,13419,16694,33216,35734,42268,42268
56,67,67.000,622,8259,8367,14454,14306,32292,33590,102991,102991
57,78,78.000,638,8273,8389,12944,16700,25129,33484,54209,54209
58,78,78.000,840,8293,8383,12727,16670,25091,33537,37990,37990
59,82,82.000,1161,8269,8366,12008,15509,24857,33429,50186,50186
