Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,29.200,18.956,7.090,14.368,16.764,17.217,33.613,41.861,50.140,67.335,0.053
5,30.200,20.837,7.168,15.059,16.728,17.266,33.545,42.043,107.070,108.243,0.048
10,28.400,18.927,8.062,16.197,16.702,16.831,30.716,33.501,87.029,170.692,0.053
15,29.600,20.143,7.083,14.650,16.713,17.288,33.463,45.124,108.630,110.232,0.050
20,31.200,17.371,7.403,8.381,16.619,16.792,33.341,44.596,70.309,70.699,0.058
25,34.600,16.282,2.982,8.382,16.517,16.773,31.832,43.676,57.118,58.108,0.061
30,32.000,19.685,7.380,15.296,16.695,16.806,33.424,41.890,96.833,152.349,0.051
35,30.400,18.946,7.813,8.510,16.657,16.888,33.969,45.584,72.635,100.136,0.053
40,33.400,17.228,6.963,8.359,16.600,16.785,33.424,41.676,66.480,66.673,0.058
45,31.000,16.698,7.451,8.357,16.584,16.781,33.323,39.065,69.872,87.157,0.060
50,31.800,15.610,3.623,8.320,15.598,16.727,28.860,38.182,66.705,80.935,0.064
55,39.000,14.694,2.537,8.316,8.420,16.700,31.553,33.563,102.728,102.991,0.068
