Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,28.800,7.217,0.273,0.811,5.290,8.187,11.018,30.747,62.665,113.473,0.139
5,38.800,6.356,0.257,0.520,0.825,7.273,9.499,27.724,48.705,293.950,0.157
10,45.600,4.251,0.248,0.471,0.839,7.322,8.516,11.920,43.338,49.613,0.235
15,51.600,3.290,0.224,0.386,0.658,5.873,7.952,8.477,40.530,58.366,0.304
20,61.400,2.765,0.224,0.370,0.593,0.853,7.682,9.624,33.076,56.749,0.362
25,64.200,2.599,0.226,0.359,0.566,0.844,7.397,8.318,31.242,114.714,0.385
30,69.400,1.316,0.205,0.336,0.436,0.675,5.533,7.825,10.662,11.374,0.760
35,77.200,1.509,0.240,0.323,0.509,0.736,6.132,7.941,10.368,49.573,0.663
40,83.000,1.404,0.210,0.337,0.536,0.752,5.168,7.266,10.425,31.224,0.712
45,81.200,1.931,0.223,0.328,0.491,0.788,5.754,8.160,32.843,58.838,0.518
50,81.600,1.215,0.215,0.345,0.568,0.729,0.944,6.539,16.250,30.643,0.823
55,62.000,2.142,0.224,0.494,0.603,0.777,5.557,8.333,32.910,79.302,0.467
