Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,239,239.000,213,664,931,4193,7270,8364,15229,31678,71192
1,343,343.000,169,442,608,2879,1326,7536,8328,38885,83242
2,399,399.000,156,367,588,2497,1175,7716,8447,30714,49506
3,406,406.000,150,300,493,2496,806,7373,8426,29101,81898
4,436,436.000,148,227,385,2249,680,7060,8336,38861,50133
5,465,465.000,142,229,382,2161,670,6952,9167,30125,92126
6,427,427.000,131,201,282,2356,490,7538,8092,30112,103386
7,413,413.000,128,296,438,2372,806,7654,8365,31129,76801
8,611,611.000,125,179,269,1624,531,6106,7857,16920,66827
9,464,464.000,128,279,448,2157,773,7471,8352,30668,66245
10,534,534.000,136,323,450,1988,671,5769,7682,28327,82753
11,399,399.000,150,206,258,2316,428,6875,7966,41651,104759
12,570,570.000,125,194,318,1801,546,5602,7964,32396,64549
13,666,666.000,130,261,364,1459,545,4946,7611,19952,62661
14,415,415.000,120,295,416,2624,651,6457,7974,48517,182544
15,518,518.000,118,181,303,1748,603,6937,8255,20795,76171
16,411,411.000,119,232,341,2408,561,6574,8268,32636,176000
17,580,580.000,116,284,412,1719,666,6471,8281,11562,66728
18,591,591.000,122,284,362,1687,553,5090,7872,29596,66083
19,559,559.000,119,331,415,1783,621,5638,7947,29918,59743
20,631,631.000,125,299,363,1579,549,4029,7741,18691,106848
21,608,608.000,132,303,400,1639,592,5511,7655,16745,60962
22,379,379.000,121,260,342,2633,547,4694,8098,66868,167748
23,596,596.000,126,303,383,1674,595,4403,7546,25249,99675
24,672,672.000,123,239,316,1473,466,4728,7342,11559,82819
25,690,690.000,120,245,362,1443,546,4131,7321,28702,64233
26,715,715.000,118,291,379,1402,577,3217,7709,11555,64858
27,443,443.000,124,206,346,2236,551,5104,8196,45482,167201
28,632,632.000,123,202,353,1589,543,5351,7736,18750,66166
29,711,711.000,122,283,341,1401,513,1286,7711,25292,81395
30,703,703.000,118,300,397,1411,572,3129,6651,11322,105633
31,599,599.000,117,301,406,1680,591,4281,7665,30138,76405
32,273,273.000,159,313,387,3733,557,1020,11760,50339,266354
33,484,484.000,124,215,324,1990,434,2333,7101,53721,236287
34,713,713.000,118,187,340,1398,522,4576,7646,15616,71709
35,906,906.000,118,200,305,1098,487,935,6289,14901,48934
36,752,752.000,116,258,362,1324,507,1630,7041,28412,44865
37,739,739.000,120,279,367,1344,520,1637,6660,11642,106585
38,300,300.000,122,231,374,3343,571,4027,7836,112433,207715
39,764,764.000,124,275,384,1302,521,1176,6918,25657,50178
40,722,722.000,121,280,337,1370,513,1016,5997,23555,74338
41,661,661.000,121,278,360,1507,509,1003,5951,39380,96392
42,918,918.000,120,228,299,1091,422,985,7192,11225,84186
43,760,760.000,122,291,362,1301,458,2452,6917,15757,65350
44,724,724.000,127,290,350,1376,523,1850,7123,13022,123221
45,677,677.000,116,298,373,1472,554,1856,7491,21704,77225
46,675,675.000,131,203,324,1473,480,1075,6892,33379,104690
47,926,926.000,121,294,357,1077,497,920,6374,11599,40018
48,772,772.000,116,278,342,1290,487,1383,7133,26856,58029
49,557,557.000,138,317,375,1849,517,986,6929,21312,166329
50,684,684.000,121,281,376,1420,549,1147,6596,25754,66512
51,817,817.000,118,268,343,1209,446,1072,6322,11024,74735
52,774,774.000,130,284,358,1308,480,1080,7121,16544,82592
53,872,872.000,118,282,364,1122,528,1614,7020,11223,69819
54,802,802.000,118,227,336,1233,495,986,5773,18664,71776
55,793,793.000,117,284,341,1255,508,1035,7164,18199,64884
56,755,755.000,115,266,350,1319,521,1106,6775,20474,105418
57,992,992.000,118,175,284,1020,403,673,5715,10712,75316
58,823,823.000,118,247,318,1199,426,703,5195,12431,98395
59,684,684.000,116,271,324,1433,490,793,6240,14907,274704
