Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,60,60.000,1852,8290,14832,16749,16854,36214,48497,70462,70462
1,59,59.000,1869,8299,16430,16810,16796,40422,41881,58458,58458
2,63,63.000,949,8254,8370,15875,16698,33378,41713,106184,106184
3,64,64.000,1761,8282,8829,15622,16699,25061,38738,99976,99976
4,64,64.000,898,8281,8557,15623,16806,33069,41757,75163,75163
5,81,81.000,1647,8229,8405,12345,16692,17483,33826,41670,41670
6,63,63.000,8144,8316,8446,18010,16724,26930,41714,166935,166935
7,61,61.000,725,8264,8409,14348,16795,25070,33434,68736,68736
8,66,66.000,1124,8292,8375,14963,16719,33283,33363,108932,108932
9,67,67.000,625,8267,8387,14809,16762,34927,41763,66102,66102
10,74,74.000,556,8243,8340,13637,16619,33383,41671,100196,100196
11,70,70.000,1676,8282,8437,14421,16738,25107,33504,74069,74069
12,51,51.000,1370,8288,8366,19285,16751,33368,50551,250800,250800
13,76,76.000,742,8248,8389,13275,16773,25123,33303,70784,70784
14,70,70.000,837,8277,8360,14054,16706,33431,40689,56444,56444
15,73,73.000,929,8281,8361,14272,16731,25113,34621,90379,90379
16,52,52.000,929,8308,8367,18597,18460,41657,86289,102919,102919
17,70,70.000,945,8273,8348,14165,16698,32142,37416,101689,101689
18,72,72.000,765,8268,8419,14020,16728,25641,33431,83418,83418
19,62,62.000,8179,8329,13688,16298,16745,33367,41649,58368,58368
20,66,66.000,804,8285,11809,14756,16740,25193,33394,66711,66711
21,66,66.000,787,8333,14253,15162,16714,25040,40425,68011,68011
22,65,65.000,682,8278,8452,15517,16696,29763,33541,100150,100150
23,67,67.000,1123,8258,8861,15302,16700,33876,42484,68905,68905
24,66,66.000,866,8309,8474,14657,16749,33260,33543,50084,50084
25,69,69.000,2160,8296,14244,14407,16710,25311,33376,66680,66680
26,64,64.000,1250,8289,8538,15762,16747,33435,40121,83274,83274
27,74,74.000,1292,8267,8397,13409,16687,25150,33543,55019,55019
28,72,72.000,1203,8283,8412,14016,16697,33325,36591,50260,50260
29,64,64.000,961,8275,12833,15500,16766,33507,50074,61396,61396
30,65,65.000,786,8325,16598,15261,16739,25138,33469,63290,63290
31,69,69.000,1185,8295,8374,14497,16723,33311,41593,75420,75420
32,63,63.000,956,8269,8337,15888,16679,33329,50009,168692,168692
33,76,76.000,641,8255,8369,13163,16703,25870,33516,50053,50053
34,67,67.000,640,8276,8418,15187,16761,33325,44325,50088,50088
35,69,69.000,714,8279,8455,14371,16647,25229,33487,109406,109406
36,64,64.000,784,8305,8479,15369,16730,33256,46310,70290,70290
37,68,68.000,984,8313,8429,14709,16702,33209,40770,84765,84765
38,74,74.000,770,8284,8387,13518,16691,25151,33331,75884,75884
39,73,73.000,545,8263,8367,13701,16726,25082,34374,76875,76875
40,63,63.000,1548,8287,8407,15891,16874,33325,33412,93521,93521
41,61,61.000,1173,8271,8394,16277,16716,33446,50345,75201,75201
42,79,79.000,860,8196,8421,13290,16704,25052,33302,63144,63144
43,68,68.000,693,8310,8824,14219,16724,33425,33817,42151,42151
44,66,66.000,665,8296,15850,14912,16735,25088,33351,83487,83487
45,70,70.000,1072,8287,8466,14284,16703,33251,38104,50676,50676
46,67,67.000,1060,8287,8433,14804,16739,30106,33428,92017,92017
47,68,68.000,764,8286,8537,19640,16709,29447,33487,392949,392949
48,45,45.000,1542,8286,8445,15181,16861,27641,33837,66662,66662
49,62,62.000,757,8279,8369,15992,16718,41635,51669,66692,66692
50,65,65.000,1121,8299,15489,15515,16753,25057,41577,74969,74969
51,60,60.000,1662,8347,16595,16401,16816,27683,33391,116961,116961
52,71,71.000,569,8244,8410,14089,16706,25226,33686,66690,66690
53,61,61.000,1438,8311,8413,16260,16708,20505,50134,96213,96213
54,76,76.000,604,8283,8391,13160,16663,16774,33308,66694,66694
55,64,64.000,2891,8307,16558,15629,16715,28258,33388,66749,66749
56,73,73.000,562,8262,8357,13708,16735,24996,41901,71419,71419
57,65,65.000,577,8302,13643,15396,16774,33374,35968,66838,66838
58,60,60.000,567,8286,8405,16537,16761,33490,42039,133372,133372
59,69,69.000,778,8279,8579,14374,16668,25009,32688,75139,75139
